method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + Random Reset,78,6000370,metaworld,True,75,0.590097975999015,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,79,6000371,metaworld,True,71,0.5554864299992914,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,80,6000372,metaworld,True,76,0.6068281780007965,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,81,6000373,metaworld,False,200,1.575242339000397,1,0,1,0,1.0,post_reset_task_success_per_reset,False,False,object_dropped,custom,0.2
ACT + Random Reset,82,6000374,metaworld,False,200,1.5737748020001163,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,83,6000375,metaworld,True,68,0.5391024250002374,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,84,6000376,metaworld,True,72,0.4398399510009767,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,85,6000377,metaworld,True,73,0.5666578169984859,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,86,6000378,metaworld,False,200,1.5632473360001313,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,87,6000379,metaworld,False,200,1.564110786999663,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,88,6000380,metaworld,True,80,0.6278226919985173,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,89,6000381,metaworld,True,52,0.39070463700045366,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,90,6000382,metaworld,True,73,0.5721671479986981,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,91,6000383,metaworld,True,53,0.4029464760005794,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,92,6000384,metaworld,True,70,0.5464930520010967,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,93,6000385,metaworld,False,200,1.5808915510006045,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,custom,0.2
ACT + Random Reset,94,6000386,metaworld,True,55,0.42564425700038555,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,95,6000387,metaworld,True,57,0.43349196500093967,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,96,6000388,metaworld,True,75,0.5947617669989995,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,97,6000389,metaworld,True,58,0.445099439999467,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,98,6000390,metaworld,True,58,0.44003909999992175,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,custom,0.2
ACT + Random Reset,99,6000391,metaworld,True,84,0.7165165910009819,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,custom,0.2
