method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile
REIM (ACT + Detector + Recovery),0,6000042,metaworld,True,50,0.4750382180009183,0,0,0,0,0.17666028439998627,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),1,6000043,metaworld,True,51,0.22370743499959644,0,0,0,0,0.18855030834674835,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),2,6000044,metaworld,True,65,0.35483993999878294,1,1,1,30,0.2029482126235962,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),3,6000045,metaworld,True,55,0.24967525900137844,0,0,0,0,0.1590830236673355,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),4,6000046,metaworld,True,54,0.33504673300012655,1,1,1,39,0.2078421413898468,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),5,6000047,metaworld,True,52,0.29598559199985175,1,1,1,33,0.20451079308986664,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),6,6000048,metaworld,True,56,0.2560207589995116,0,0,0,0,0.15030185878276825,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),7,6000049,metaworld,True,54,0.23094445700007782,1,1,1,39,0.252267062664032,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),8,6000050,metaworld,True,55,0.2425917809996463,0,0,0,0,0.1465797871351242,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),9,6000051,metaworld,True,56,0.2988245790002111,1,1,1,36,0.20303675532341003,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),10,6000052,metaworld,True,49,0.3412350010003138,1,1,1,30,0.20942427217960358,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
