method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile
REIM (ACT + Detector + Recovery),22,6000064,metaworld,True,51,0.4746620129990333,0,0,0,0,0.1487804800271988,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),23,6000065,metaworld,True,51,0.38506249400052184,1,1,1,38,0.2621164619922638,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),24,6000066,metaworld,False,200,1.6423557240013906,1,0,1,135,0.9986523985862732,task_success_while_recovery_active_per_intervention,False,True,object_dropped,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),25,6000067,metaworld,True,55,0.2661922480001522,0,0,0,0,0.16984562575817108,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),26,6000068,metaworld,True,53,0.3086140510004043,1,1,1,32,0.35929757356643677,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),27,6000069,metaworld,False,200,1.5152579610003158,1,0,1,150,0.9958129525184631,task_success_while_recovery_active_per_intervention,False,True,timeout,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),28,6000070,metaworld,True,54,0.32900983600120526,0,0,0,0,0.1723783314228058,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),29,6000071,metaworld,True,56,0.3303171990010014,0,0,0,0,0.15013714134693146,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),30,6000072,metaworld,False,200,1.9978909580004256,1,0,1,150,0.9919393658638,task_success_while_recovery_active_per_intervention,False,True,timeout,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),31,6000073,metaworld,True,50,0.5587863519995153,0,0,0,0,0.1809110790491104,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),32,6000074,metaworld,True,47,0.5609152099987114,1,1,1,33,0.2685299217700958,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
REIM (ACT + Detector + Recovery),33,6000075,metaworld,True,52,0.3540321929995116,1,1,1,41,0.3592877686023712,task_success_while_recovery_active_per_intervention,True,False,,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,0,full
