method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile
REIM (ACT + Detector + Recovery),135,6000177,metaworld,True,49,0.24028385899873683,0,0,0,0,0.13994169235229492,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),136,6000178,metaworld,True,52,0.2615280609988986,0,0,0,0,0.10983125120401382,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),137,6000179,metaworld,True,57,0.2695224060007604,0,0,0,0,0.16305683553218842,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),138,6000180,metaworld,True,59,0.2778706549997878,0,0,0,0,0.1695513129234314,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),139,6000181,metaworld,True,54,0.20053922199986118,0,0,0,0,0.09814134240150452,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),140,6000182,metaworld,True,52,0.18773351999880106,0,0,0,0,0.1316947042942047,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),141,6000183,metaworld,True,56,0.23167705400010163,0,0,0,0,0.17236743867397308,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),142,6000184,metaworld,True,53,0.1982321100003901,0,0,0,0,0.15620024502277374,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),143,6000185,metaworld,True,51,0.19632551500035333,0,0,0,0,0.11606194078922272,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),144,6000186,metaworld,True,52,0.19671544800075935,0,0,0,0,0.19997800886631012,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),145,6000187,metaworld,True,52,0.573362086999623,1,1,1,35,0.22399134933948517,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
REIM (ACT + Detector + Recovery),146,6000188,metaworld,True,57,0.57500303300003,1,1,1,31,0.2092832624912262,task_success_while_recovery_active_per_intervention,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
