run_fingerprint,benchmark,condition,task_name,task_id,task_variant,method,success,intervention_count,recovery_success,steps,paired_episode_id,episode_seed,task_payload_sha256,max_failure_probability,trigger_step,attempt_count
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,reach-v3,0,0,MT-REIM,0,1,1,500,00-0000-0395e2a03e29,9910,0395e2a03e2910bac699b683957e3ceafe547870d704941a7b9c174aa0d6ea3d,0.6649898886680603,323,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,reach-v3,0,1,MT-REIM,1,1,1,357,00-0001-3ac34b7f27e1,9911,3ac34b7f27e106ec9c8dcc5302c565530266e86aef18c990cda1fa2d90a1f3cc,0.6786952614784241,48,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,reach-v3,0,2,MT-REIM,0,2,1,500,00-0002-befd5b78c81d,9912,befd5b78c81d6d9b883ef6d8c07dd9401f59df1ee631b049fc3670b35db14e58,0.7607323527336121,150,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,reach-v3,0,3,MT-REIM,0,1,1,500,00-0003-0ebfa1e30754,9913,0ebfa1e30754b5c362109a21295f076b4904537bcd2d8b2f341c2e93f067dec5,0.6911213397979736,241,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,reach-v3,0,4,MT-REIM,0,2,2,500,00-0004-41d221c70919,9914,41d221c709195ffc5ae27abb90764476ed8625a68928df0ca903b3a5525df96d,0.737366259098053,109,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,push-v3,1,0,MT-REIM,0,1,1,500,01-0000-61c5ea903f22,109910,61c5ea903f22cb0a9e7b69f2e5a8c7a9e79c3efe102c842edc14fddec2d2a93a,0.6958810687065125,330,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,push-v3,1,1,MT-REIM,0,5,4,500,01-0001-28a42df29b41,109911,28a42df29b4164b0c3694dd0ec811af255ef0a42feea4630e4b39adf2daed072,0.8034504652023315,85,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,push-v3,1,2,MT-REIM,0,1,0,500,01-0002-6cb560235c8d,109912,6cb560235c8dbe2505218f5d2ca9725ae0633bbe92eda702286c6f870d2e4dbd,0.8470872640609741,331,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,push-v3,1,3,MT-REIM,0,2,0,500,01-0003-1e1692fb2f2e,109913,1e1692fb2f2ecb67c96e29a80111f0c1d12fa7c25ea1e9e498bfdc3561a2ebbe,0.8928490877151489,209,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,push-v3,1,4,MT-REIM,0,2,1,500,01-0004-a7567fd00efc,109914,a7567fd00efc104bd7c0025754f1d498dd6796a060bc1dd1fa6bf92d8186ae6d,0.8304911255836487,145,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,pick-place-v3,2,0,MT-REIM,0,2,0,500,02-0000-90f26da7cfc9,209910,90f26da7cfc95e1c5f8445b23a27c9e0422acf4b08e74229ac7d4d78692d6c27,0.8783323764801025,133,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,pick-place-v3,2,1,MT-REIM,0,2,1,500,02-0001-e9a40f54dd71,209911,e9a40f54dd718bb1eed68a6c339bf2cf92628f32108ecdc7ef41e9b1ae095d57,0.7113511562347412,316,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,pick-place-v3,2,2,MT-REIM,0,1,0,500,02-0002-ab3d5dcd3e1a,209912,ab3d5dcd3e1a541a11efbeb9e0bf3b5e7c6ec5d2dfe7d60a14f6db97514f6620,0.8037357926368713,285,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,pick-place-v3,2,3,MT-REIM,0,1,1,500,02-0003-ae5072aae0bb,209913,ae5072aae0bb873c1e743c7ba8d2092b42004c69973bef2a7bd994807ba9fcb2,0.7973347902297974,431,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,pick-place-v3,2,4,MT-REIM,0,1,0,500,02-0004-4e4f6d34578b,209914,4e4f6d34578b8c87784492356d8288c2de6bbbbd480d1d2405cd2814dd734f1a,0.8138667941093445,257,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,door-open-v3,3,0,MT-REIM,1,1,1,132,03-0000-e895c25e348e,309910,e895c25e348e636b4f31f30acca0d8002301ffd8b89426ddd06f7268fc281f56,0.841199517250061,38,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,door-open-v3,3,1,MT-REIM,1,1,1,249,03-0001-913176d8c4c8,309911,913176d8c4c8ca9833f2b11d2bb444a9ed8dffc4e386ee9cfd30cd06596162e8,0.8059056401252747,56,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,door-open-v3,3,2,MT-REIM,1,1,1,99,03-0002-372028942bf6,309912,372028942bf683074974f337c1d090ce8459af6a32498eba65b0ff4475b314a9,0.7804743051528931,18,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,door-open-v3,3,3,MT-REIM,1,1,1,88,03-0003-852bc6fa7cd8,309913,852bc6fa7cd8f2bb2e78f134bb797667367fd73d1faf08ed719af94f78567615,0.8647953271865845,13,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,door-open-v3,3,4,MT-REIM,1,2,2,110,03-0004-fa718984c444,309914,fa718984c444daf51a8653e1887f3f5e6d74ede77571e45a8a937e5ca9417a42,0.8748526573181152,3,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,drawer-open-v3,4,0,MT-REIM,0,1,0,500,04-0000-329546e3a866,409910,329546e3a8665c08d2ff77ad818e3be2e4f90ff5ab2548a1d08c10fbab018270,0.7535215020179749,366,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,drawer-open-v3,4,1,MT-REIM,0,3,2,500,04-0001-74f8b2a9403a,409911,74f8b2a9403abfeb263f47ee8c4a9bfad9e45af7c3c6188e8ae569a74901eba0,0.9055355787277222,268,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,drawer-open-v3,4,2,MT-REIM,0,2,1,500,04-0002-6a2603e3d5a5,409912,6a2603e3d5a5d14ed61ebf641bc616e403e572165d486317f43e2d81d33e09c1,0.889025866985321,53,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,drawer-open-v3,4,3,MT-REIM,1,1,1,366,04-0003-b93891a10ea0,409913,b93891a10ea03a0251a4d55a5baae98080528cbcaa582070e504f5d1bcf3e41a,0.7356557846069336,290,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,drawer-open-v3,4,4,MT-REIM,0,3,2,500,04-0004-abb4f25a8d12,409914,abb4f25a8d1253248c002907bbae87e8c4a007a22be294b18ad1fd38801abeaa,0.8590905666351318,36,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,drawer-close-v3,5,0,MT-REIM,1,1,1,212,05-0000-f604b7f369c4,509910,f604b7f369c4f392fa2d30b5955b050fc97bd299f5e1860d4faf931b045037ea,0.7479880452156067,171,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,drawer-close-v3,5,1,MT-REIM,1,0,0,35,05-0001-9bc53fa4292b,509911,9bc53fa4292beeb36d78b85637dfe284b8c8d9162bb7779b1229a04b8e3d83ed,0.4813983142375946,-1,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,drawer-close-v3,5,2,MT-REIM,1,1,1,220,05-0002-c37a7fb72dea,509912,c37a7fb72dea72643527f5c692d6351934f969ecc4067794c46f5fe526cafc67,0.7966399192810059,189,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,drawer-close-v3,5,3,MT-REIM,1,1,1,171,05-0003-ad7931045bb9,509913,ad7931045bb9d1444d8fc82d7792a1f2dbbd02cac8f5a797c0520d129eaa5cdd,0.8848177194595337,86,1
2d84d1f944af11fe918cc0a41b6424c4c3d45592112dd98d497913ce30143c98,MT10,diagnostic_gate_65,drawer-close-v3,5,4,MT-REIM,0,1,0,500,05-0004-c81566cdb1ac,509914,c81566cdb1ac9265a7173507ab87c737ef262c1fb02c03137b0fa321e93b3149,0.8106030225753784,253,1
