benchmark,threshold,task_macro_precision,task_macro_recall,task_macro_f1,micro_precision,micro_recall,micro_f1,predicted_positive_rate,precision_constraint_satisfied,selected,task_macro_auroc,task_macro_auprc,task_macro_ece,micro_auroc,micro_auprc,micro_ece
MT10,0.01,0.26474144059124327,0.9979673665492861,0.4166015507966866,0.2675576836487036,0.9983608572716469,0.4220162826953058,0.9537660650878277,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.02,0.27546134373026254,0.9949086831360411,0.4298033040889659,0.2778654409074277,0.9958201860426996,0.4344934247579541,0.9160478050926459,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.03,0.28436701001690373,0.991844166476719,0.4403038254794591,0.28568398477546164,0.9934844076547965,0.4437610967730127,0.8888877250683453,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.04,0.29207052307051173,0.9887161702896148,0.4490511092058709,0.2920097553908193,0.9911076506986846,0.4511093081162745,0.8675514030438563,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.05,0.2987157222917799,0.9850015408367494,0.4563347836756294,0.2973229589257309,0.9880752366512314,0.4570995260663507,0.8494411915660253,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.060000000000000005,0.30436943458904037,0.9809130988992256,0.4622911664541201,0.30178421204625644,0.9849198868991518,0.4620071891278858,0.8342114359334248,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.06999999999999999,0.30940516489642855,0.9773499302047408,0.46750901404063905,0.3057341907824223,0.9818874728516985,0.4662807102894672,0.8208984927360141,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.08,0.3146882800598411,0.9742748808869945,0.4729923269438611,0.3099095826793104,0.9789779945088719,0.4707852990442409,0.8074389081501189,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.09,0.3190326115170522,0.9695034272169168,0.477141428062808,0.3134127695471081,0.9743883948694833,0.4742747155209382,0.794670632967079,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.09999999999999999,0.3235697032181958,0.965132005317456,0.4815077704073841,0.3172107103151747,0.9704544523214359,0.47813446396123555,0.7819861528631731,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.11,0.32797545486751695,0.9607029940817412,0.4856694011242578,0.3208954208341838,0.9663156169323444,0.4817955214122262,0.7697101737700454,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.12,0.3324823792851027,0.9565742841429324,0.4899421405754657,0.3247148288973384,0.962381674384297,0.48558845422214864,0.7575598872956185,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.13,0.33692760804028127,0.9518674198068016,0.4940079370594404,0.32857403842100086,0.9581199032905791,0.4893367656599904,0.7453467545118413,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.14,0.3414629213968275,0.947565293565356,0.4981788697442059,0.3324577057605825,0.9542679178789493,0.4931179061494156,0.7336782897424349,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.15000000000000002,0.34612988915211523,0.9429270379447295,0.5023578916559251,0.33644900506538555,0.9499241896488136,0.49690253156416797,0.7216746446564926,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.16,0.3504047357015505,0.9375091542308466,0.5059916146306819,0.340302779909107,0.9450887186001721,0.5004176837537293,0.7098700128834934,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.17,0.3551962159972769,0.9328089200365189,0.5101691701741148,0.3445304995196926,0.94062205466541,0.5043338789589902,0.6978454190277676,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.18000000000000002,0.36013948173563437,0.9273411316984095,0.5143115989656382,0.34892394228417706,0.9354587550710978,0.5082658888752825,0.6852761571576709,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.19,0.3645639789576779,0.9219963354367797,0.5178742920262003,0.3528945404800398,0.9302544769085768,0.5116813740406396,0.6737962313163159,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.2,0.36899373556001314,0.9173008876852752,0.5215053373909536,0.3569634252310609,0.9258697701102323,0.5152683071449747,0.662976191723141,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.21000000000000002,0.3732062719454385,0.9112747098881322,0.5245980201341662,0.36092944031109897,0.9204196205384584,0.5185262137267123,0.651831446198322,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
MT10,0.22,0.377687460582082,0.9057259259275444,0.528017077348142,0.36515255567546356,0.9151333852395197,0.5220135342036675,0.6405924312094772,False,False,0.8041993043063986,0.602355098577563,0.14533107377806576,0.808404157424395,0.6195755454308257,0.14557235962753576
