epoch,train_mse,validation_mse,train_mae,validation_mae,learning_rate
1.0,0.17807069919367144,0.1088476110451501,0.2996714508773598,0.2250741284496878,0.0003
2.0,0.0861592661452647,0.07535824086129882,0.19218645655220246,0.17306198910663745,0.0003
3.0,0.06566390843892835,0.063289942484041,0.15969467445406338,0.15331964604534995,0.0003
4.0,0.05628313145124971,0.056441993641265,0.14350868248977514,0.1437970657793856,0.0003
5.0,0.05009872245085286,0.050439595021368244,0.1322755037578954,0.13266473726903844,0.0003
6.0,0.0458530801121877,0.046250754416312025,0.12441795000753142,0.12449888416678835,0.0003
7.0,0.04258129673128093,0.04349028072460351,0.1181020600568196,0.11969480111949551,0.0003
8.0,0.04022374209037644,0.041883910513803004,0.11342010953955424,0.1161287136477462,0.0003
9.0,0.03842488904976373,0.03952040939339548,0.10981988633885233,0.10973709498539322,0.0003
10.0,0.036891245246033356,0.04058260205911778,0.1065077470649798,0.1131974612342832,0.0003
11.0,0.03559600494641769,0.03733379354702505,0.10395848446701116,0.10663606851671904,0.0003
12.0,0.03440734323147115,0.03634802805784572,0.10140476120432225,0.10404256047324835,0.0003
13.0,0.033580655107640245,0.03525470137501238,0.09948889490895321,0.1030213736461549,0.0003
14.0,0.03264210960934882,0.0336725650219744,0.09751563627183436,0.09920615635541331,0.0003
15.0,0.03183496419320322,0.03409122953912009,0.0958382940944153,0.10068264173934989,0.0003
16.0,0.031086046032381926,0.03283022897470244,0.09433529864989701,0.09739976564333926,0.0003
17.0,0.030406106727307095,0.03294472852452721,0.0926463199221213,0.09905019659202172,0.0003
18.0,0.029693861831562075,0.03164061721588133,0.0911310103558783,0.09574324459042978,0.0003
19.0,0.02925172465816197,0.03168514425706568,0.09014046893047996,0.09583230376573752,0.0003
20.0,0.028906139965228485,0.03081812444299108,0.08964542604478415,0.09330351241209382,0.0003
21.0,0.028394823466913154,0.029977173902418643,0.08828709770897311,0.0919706108827201,0.0003
22.0,0.0279945552397538,0.031041815537021396,0.08751339929081162,0.09256964135368237,0.0003
23.0,0.027641009209312156,0.03015073395292179,0.08671284394043954,0.09254068835670273,0.0003
24.0,0.027118411811026876,0.02882484810664649,0.08559129210784681,0.08958703052989904,0.0003
25.0,0.026853056489773836,0.02858370674012269,0.0849752458418796,0.08920011148374304,0.0003
26.0,0.026424441200516176,0.02859689777953832,0.08403022007117501,0.08858802833863323,0.0003
27.0,0.02611849048806305,0.027834607635777976,0.08326782546475364,0.08732218643632081,0.0003
28.0,0.025910997529170806,0.02846433573217337,0.08280865744061608,0.08662403827509305,0.0003
29.0,0.025586231632472207,0.02968153438546204,0.08216328568580518,0.0920171355454663,0.0003
30.0,0.025290334539015573,0.0275202940801569,0.08146844038300977,0.08507071862484548,0.0003
31.0,0.025120559851172033,0.029041866755947134,0.08101638028642244,0.08891207584726497,0.0003
32.0,0.024848051006221596,0.026576493276877885,0.08036442267444106,0.08420373334528634,0.0003
33.0,0.024512853384834065,0.026774146956985247,0.07947862015144787,0.08521609341276833,0.0003
34.0,0.02432442194106063,0.02684864588491107,0.07924064471073379,0.0848336913004109,0.0003
35.0,0.024317594207858558,0.02663864031528461,0.07931479389891632,0.08468320267958726,0.0003
36.0,0.02397612532081994,0.026647261366050896,0.078440282726257,0.08543561592570267,0.0003
37.0,0.02355647324481054,0.026031260966488445,0.07741323504893399,0.08296938270387678,0.0003
38.0,0.023363226898521737,0.0254446013210472,0.07718925081259363,0.08048375085675367,0.0003
39.0,0.023461762447625153,0.0255106644293266,0.07736807652180079,0.08163461461075074,0.0003
40.0,0.023009537714909017,0.024963460349970473,0.07625695884982259,0.07993955788493289,0.0003
41.0,0.022990920599833552,0.02534609214293874,0.07611345581985533,0.08126657399479342,0.0003
42.0,0.022830638616596642,0.025380432020977135,0.07615257661442607,0.08042101393492057,0.0003
43.0,0.0226521068022971,0.02514977587143266,0.0757395547247432,0.08072863681017678,0.0003
44.0,0.02237244181146346,0.024474149661427937,0.0747965920232652,0.07931850893969668,0.0003
45.0,0.02228680187900183,0.025072136819464592,0.07489654329110794,0.0815354708409044,0.0003
46.0,0.022265585777686774,0.02425548853519315,0.07475965131218844,0.07855249660025991,0.0003
47.0,0.021809072177651927,0.02457018844611952,0.07360878568181806,0.07952976209004611,0.0003
48.0,0.021991875276159853,0.024253860978033413,0.07431075742597273,0.07735726743262884,0.0003
49.0,0.021678325447151977,0.024554588834264833,0.07331422189893959,0.0793751977781303,0.0003
50.0,0.021561462672490157,0.023155640573081764,0.07327650671230665,0.07604986294483701,0.0003
51.0,0.02156449295984833,0.02381837019769079,0.0731779862760531,0.07776403003169087,0.0003
52.0,0.02129693750715182,0.023729088205233836,0.07251577724137659,0.07608156245693734,0.0003
53.0,0.021257614448748494,0.024063578808986418,0.07269174276922606,0.0803064139907181,0.0003
54.0,0.021163466861828437,0.02325054129641402,0.07218363377997744,0.07545040314009858,0.0003
55.0,0.020913073848987624,0.023538165167689678,0.07178613492154422,0.07771071112387733,0.0003
56.0,0.020799183437511623,0.023521064300556494,0.07132254592637692,0.0768603250681554,0.0003
57.0,0.020777532762207677,0.022789597538163647,0.07135736164481693,0.07475217979617602,0.0003
58.0,0.020585216192908054,0.023613096149592713,0.0710437239823513,0.07732229990848685,0.0003
59.0,0.02058945430554516,0.02310962413929181,0.07101469722098354,0.0766594468022728,0.0003
60.0,0.020453686541119457,0.024139307981683806,0.07076576481920742,0.07798609615562715,0.0003
61.0,0.020373912714546524,0.022779683334251302,0.07050115042399756,0.0739372363928183,0.0003
62.0,0.02020868156026542,0.02318306880343397,0.07012705363080059,0.0770731967705801,0.0003
63.0,0.020139332126897214,0.02314050369468834,0.07017463720376828,0.07704895668715579,0.0003
64.0,0.020140191103449615,0.022599888672405886,0.0702839905656369,0.07486129887874557,0.0003
65.0,0.01992430159502551,0.022503973153325144,0.06938799369921639,0.07467867656197273,0.0003
66.0,0.01980495926222315,0.022139572501539872,0.06936428888054715,0.07360051107764382,0.0003
67.0,0.019667300931665844,0.022277623905541635,0.06912055965991011,0.07458940866767409,0.0003
68.0,0.01973373361039611,0.022617018889875187,0.06921395962350826,0.07557622087525039,0.0003
69.0,0.019579935095597956,0.022169838723159523,0.06861311161018444,0.07392476939347585,0.0003
70.0,0.01956312625989122,0.021390578076288982,0.06870868880756845,0.07181784040270325,0.0003
71.0,0.019313950153084788,0.02183518235070363,0.06810111498917928,0.07434778722411588,0.0003
72.0,0.01928033049433638,0.021670966001445024,0.06783411678732487,0.07353825129058435,0.0003
73.0,0.019279664977928036,0.02281661703757425,0.06809896038026522,0.07712883022286163,0.0003
74.0,0.01917898697060347,0.021708508811212328,0.06802465853082043,0.07292536118615145,0.0003
75.0,0.01899965489229206,0.02116311158830308,0.06739769513103488,0.07155120639469359,0.0003
76.0,0.01906719381319122,0.021408782243121056,0.06749917241033884,0.07223548103010385,0.0003
77.0,0.01884131579668721,0.021511147872488312,0.06702206164814628,0.0730031726127138,0.0003
78.0,0.01882880831965166,0.020871192283728808,0.0671165522523294,0.07037084641498827,0.0003
79.0,0.018728491683750646,0.022162953809249344,0.06663422967149772,0.0737813718363656,0.0003
80.0,0.018714112247845315,0.021621973950562992,0.06658098550800329,0.07358602402772654,0.0003
81.0,0.018604928510170326,0.02184306541491347,0.06665132209876852,0.07299850207230153,0.0003
82.0,0.01847003538297737,0.021426628710829794,0.0661111713266018,0.07225091232563388,0.0003
83.0,0.018626549403653846,0.02111328256122729,0.06653001320571095,0.07297570174093825,0.0003
84.0,0.018383240137407653,0.021212245045931385,0.0659035713548282,0.0720805578178076,0.0003
85.0,0.01833648889179851,0.02085039292311794,0.06585120433279612,0.07004828119644503,0.0003
86.0,0.018194619437188246,0.02093237684255409,0.06551618418056053,0.07276612107555877,0.0003
87.0,0.018281866262123525,0.020092413629167038,0.06590741117575244,0.06954290603558225,0.0003
88.0,0.018285015024895684,0.020971739079539923,0.066022957684259,0.07079951878634919,0.0003
89.0,0.01787741465249605,0.020850964953932138,0.0645830880899001,0.0706265391083471,0.0003
90.0,0.018110514457517043,0.020770882456050476,0.0652979882186395,0.07211490545950607,0.0003
91.0,0.0178108114813044,0.020284650089381646,0.06447461598124503,0.07088157173039697,0.0003
92.0,0.01801914369478718,0.01962996798662415,0.06522394805597263,0.0672734272964038,0.0003
93.0,0.017754261649869513,0.01976061619232709,0.06458425476552652,0.06802804829676973,0.0003
94.0,0.018070417887235783,0.020423445043355852,0.06569299131500363,0.06890256182984608,0.0003
95.0,0.017685978139981774,0.01983646215654406,0.06428148869645094,0.06822629221629503,0.0003
96.0,0.017646802446364417,0.02013410876184425,0.06428844096364401,0.07037428895896843,0.0003
97.0,0.017541351514667056,0.01963394168114373,0.06390786835240235,0.06736031394724573,0.0003
98.0,0.01755582736056211,0.01946545773878902,0.06401481573366867,0.06707164565634836,0.0003
99.0,0.01785643110372511,0.02002774888952884,0.06492951821169846,0.06800406862331246,0.0003
100.0,0.01745519505684252,0.02021754726852923,0.06377325895370417,0.07005163686044433,0.0003
101.0,0.017365357181023902,0.020122920244829832,0.06346281647533492,0.07036899806753497,0.0003
102.0,0.01740756196606602,0.019811807198057953,0.06372470483027246,0.06870889204882313,0.0003
103.0,0.01719734507866803,0.01973978328369517,0.06331184199665672,0.06831232903031266,0.0003
104.0,0.017203851016051812,0.019925648522517256,0.06335945411472263,0.06946701851775522,0.0003
105.0,0.017170321271785544,0.019633787520851122,0.06302990655953598,0.0677757248004815,0.0003
106.0,0.017176278167415873,0.019384245959644178,0.06359666778059826,0.06643021919613958,0.0003
107.0,0.017089911234884528,0.0201130455201402,0.06306982155491625,0.07127092338886319,0.0003
