epoch,train_loss,validation_loss,validation_loss_micro
1,0.09797378037573898,0.07425907993426674,0.07951401068911276
2,0.0740804539831124,0.06208603014420483,0.06693595401666205
3,0.058141130285753566,0.04630460083200181,0.050182809146735535
4,0.04298438397969785,0.03571650984962106,0.039048918740511314
5,0.03452976349290279,0.030380404218896345,0.033577999143904566
6,0.027781576812899195,0.02459741304002063,0.027174487141371398
7,0.024308995416747425,0.02153883594211875,0.023944021206031715
8,0.021005800801928414,0.02039385188959216,0.022667348166753407
9,0.018915854885588265,0.01785743978025318,0.020089927918613113
10,0.01734954115329825,0.016397482419983317,0.01869452716290982
11,0.016211792460442416,0.01677837823115446,0.019117623115794794
12,0.015587874423244318,0.014827213511007154,0.016865941597040697
13,0.014185325881412176,0.014253702983304759,0.016252748640930847
14,0.013911772386987835,0.013270162427657892,0.015191831017936391
15,0.013330225900975943,0.012891512900274613,0.014888461260538855
16,0.01273689791871332,0.012400612466899658,0.014438147514949465
17,0.012628161590388397,0.012244986196188818,0.014242187664263297
18,0.011990413853127449,0.011612513389516955,0.01355505833997193
19,0.011698803485523641,0.011457558752630718,0.013275861615481579
20,0.01129224953205504,0.010596006986231855,0.012336592414400308
21,0.011271764592975339,0.010496945821229908,0.012212263933352258
22,0.010794716471419852,0.010464358290304126,0.012238509824496566
23,0.010395506502444366,0.010386109828968756,0.012114552509329796
24,0.010452918086006598,0.010129599669046831,0.011705269442138034
25,0.010071974830039897,0.009502345231773242,0.011132316507099189
26,0.009828087820141811,0.009620782422325147,0.011231316846512527
27,0.009566424421696086,0.009292372461418851,0.010944066967443216
28,0.009754663022377211,0.009259151682078802,0.010899478081814356
29,0.00944475267863701,0.009315480842370456,0.010902559934831451
30,0.009352600734524832,0.009275673435657512,0.010826756131007169
31,0.009051677429355897,0.009303095053886339,0.011016332629583172
32,0.009154528223741172,0.008915060166510053,0.010584631875367671
33,0.008762673774518243,0.008586764819516594,0.010086369277666953
34,0.008815701640673237,0.008863300480586698,0.010470359816453997
35,0.008811188818165467,0.008448647923360477,0.009967520825226022
36,0.008757762774031402,0.008407684130155229,0.009914781292632681
37,0.008487485808855777,0.008264990274130137,0.009825673454791167
38,0.00829952312822484,0.008655168989822323,0.010259544653102358
39,0.008443684222148428,0.00827351271110227,0.009696153060217148
40,0.008156826841711722,0.008152318809860238,0.00964779772499252
41,0.008661129364930045,0.008073103367060248,0.009554873102320718
42,0.008050995509314204,0.00779956985823997,0.009155205264492802
43,0.00791579624614026,0.007799469383404473,0.009189967718413534
44,0.008170178604310565,0.00794447033471366,0.009299282403248987
45,0.008154103312228737,0.008076976694013896,0.009607947766936641
46,0.008163199465256543,0.008034826654577255,0.009487888830778677
47,0.008040429092105932,0.007715089344882771,0.009152529193541172
48,0.0077389396989894724,0.007543343494049365,0.008958498875757068
49,0.007631880117987673,0.0076943023316529465,0.009106054146502944
50,0.007942928477477419,0.00779919303852776,0.009168362460146384
51,0.007805533788043195,0.007691749275931113,0.00901412892983462
52,0.0077958247857467505,0.008173913870935521,0.009652643796042878
53,0.007472205994350573,0.007755890147191397,0.009251177996412598
54,0.007674802565625006,0.007475338240956841,0.008832400280084526
55,0.007402413887785811,0.007541052912582323,0.009027327152365362
56,0.00717996107785362,0.007499576739802176,0.008924128806098743
57,0.0073937611061762765,0.007197147349468039,0.008538924052462302
58,0.007512474270425957,0.0073683398076158976,0.008761772982312694
59,0.007763419572940846,0.007554019302188885,0.008915921420996188
60,0.007275609963505778,0.007421973401540627,0.008834291894088162
