event_offset,phase,samples,predicted_positive_samples,predicted_positive_rate,mean_probability,median_probability
-1,no_event_within_horizon,69074,9100,0.13174276862495296,0.3347116434831323,0.29113927483558655
0,current_event,15022,8039,0.5351484489415523,0.6350291740669293,0.6794829666614532
1,strict_future_event,1875,872,0.4650666666666667,0.6022431663910548,0.6277217864990234
2,strict_future_event,1450,661,0.45586206896551723,0.5994462772600095,0.6147309243679047
3,strict_future_event,1257,590,0.4693715194908512,0.6002690180285568,0.6281532645225525
4,strict_future_event,1149,529,0.46040034812880765,0.6008036861324227,0.6216849684715271
5,strict_future_event,1054,490,0.4648956356736243,0.5969369216739029,0.6251288652420044
6,strict_future_event,1000,463,0.463,0.5978897437844426,0.6202662587165833
7,strict_future_event,954,449,0.47064989517819705,0.5997748929183282,0.6339646577835083
8,strict_future_event,906,433,0.47792494481236203,0.5996116258668617,0.6317862272262573
9,strict_future_event,881,413,0.46878547105561863,0.5991350642355766,0.6329189538955688
10,strict_future_event,849,387,0.4558303886925795,0.5974028689788986,0.6242320537567139
