epoch,train_loss,validation_loss,accuracy,precision,recall,f1,learning_rate
1,0.222583131617555,0.19203767831105392,0.8945300695074041,0.9647214375863934,0.8709003607953775,0.9154132390470623,0.0005
2,0.17531097170242313,0.1874358087262605,0.8930190389845875,0.965191687026815,0.8680519762363346,0.9140482175502742,0.0005
3,0.15546316946305458,0.19260782551391833,0.8922546353083392,0.9613011441921764,0.8706290860754686,0.9137211917607369,0.0005
4,0.13963024603654237,0.19260414536974368,0.8963610829644642,0.9612103557946675,0.8772481892412446,0.9173120018154484,0.0005
5,0.1264617156482314,0.1908085531499041,0.9008586208735534,0.9580673499267935,0.887556628597781,0.9214650838578852,0.0005
6,0.116526026502749,0.20636658318323692,0.8979254439763212,0.9586194700698517,0.8823210265035402,0.9188891400158209,0.0005
7,0.10939470696278417,0.21095141959233177,0.9030273940945371,0.9539253092843103,0.8952608306431924,0.9236625197665794,0.0005
8,0.10235665349263037,0.2025601098080257,0.9066894210086573,0.9580676944476643,0.8968613514906546,0.9264547225063402,0.0005
9,0.09656342296181322,0.2170393608606254,0.9057650258652872,0.9559664836752384,0.8975395382904268,0.9258321324136387,0.0005
10,0.09146375726378397,0.22474127807283503,0.9050539526780794,0.956761142989625,0.8955863603070829,0.9251635864310835,0.0005
11,0.08689084942271985,0.2242918680922412,0.9046273087657547,0.9570226349390598,0.894636898787402,0.9247788231005427,0.0005
12,0.08260323829037694,0.24133349484025063,0.9041651111940696,0.9533563814462691,0.8976751756503811,0.9246783004764366,0.0005
