method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,Profile,noise_level,Benchmark Eligible
ACT + Detector,976,8001018,metaworld,False,200,0.8062707950011827,0,0,1,0,0.9903990626335144,,False,True,timeout,c06c4985580bc898e81d50cfbfc52e53aa047ec283ba308fac12070d43059597,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,0f719f94ef165c0b816b8b10c3f4f5fcf802c9f5a25141035590310315749280,,,full,0.2,True
ACT + Detector,977,8001019,metaworld,True,53,0.21724479499971494,0,0,0,0,0.17419587075710297,,True,False,,f9b15670e25cbedc3f7d6b306e33961be7f6127cfb69a86c3ad62c223d8e2721,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,38329c6b97bbe7d133bf007c22742dca5f0cd7258f8d7199135c6c2371ae591d,,,full,0.2,True
ACT + Detector,978,8001020,metaworld,True,60,0.2494950529980997,0,0,0,0,0.18527847528457642,,True,False,,078297182f2007221eda584c979c240d85cda5f6de615f2b3101c4bacadc3ebf,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,5732f26a5a3acd61cb38107328c80d8fadad8368570aba69b803668406e8f53d,,,full,0.2,True
ACT + Detector,979,8001021,metaworld,True,53,0.2176957189985842,0,0,0,0,0.15990476310253143,,True,False,,8cb0ea1b60e6aef73f550e46256e155ca16fe7a8790db746c3744d810202cf33,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,588df85fb38ef87f822932ad2f702be807974873e4a07ea43084bbdeeaac6604,,,full,0.2,True
ACT + Detector,980,8001022,metaworld,True,51,0.21465497600001981,0,0,0,0,0.15405350923538208,,True,False,,69b2d337111674b540ebfb296837eabba18340fe716b0398a9c9a782b10c294b,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,2ad5907877cc42b4447b9630988e3a1f0da0d83e1f696f71e22dc69905e631b6,,,full,0.2,True
ACT + Detector,981,8001023,metaworld,False,200,0.832184604001668,0,0,1,0,0.9991270899772644,,False,True,timeout,6d80372bcd595afa9927702e585086435cfdaaf3845b6ca697437aa2f45256c1,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,35aa26efb4a8651c1d8f46a573d3d4fea76add87b5c76a00531e1cea9ad04412,,,full,0.2,True
ACT + Detector,982,8001024,metaworld,True,55,0.23322457800168195,0,0,1,0,0.2881844639778137,,True,False,,2f75a8f6405a8aeb41c9bce073208f65518efa83b282126eb060adbfb272601a,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,f82ceac6f8787ac22c378edc1f141cedcc86bf9309b43f1aff6633ae0a963abb,,,full,0.2,True
ACT + Detector,983,8001025,metaworld,False,200,0.8160714439982257,0,0,1,0,0.9452300071716309,,False,True,timeout,2fac53e1b1361108c06d2f0588f26451260febd71c77a0cc49057522516be052,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,8a99d46d6d04afe3e2ef92bb607dde5e178b5c37506006c4f364e345976453b1,,,full,0.2,True
ACT + Detector,984,8001026,metaworld,True,57,0.23453879799853894,0,0,0,0,0.1452329307794571,,True,False,,da5f900161ee49e663b261aca742d9d6769bfdc9857280826d841a428b5ee2b8,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,b8e45a2f8f553d53c6eef0305347f910b9999bcae6df6ccaf0eaee6ac864e670,,,full,0.2,True
ACT + Detector,985,8001027,metaworld,False,200,0.8113013610018243,0,0,1,0,0.4220335781574249,,False,True,timeout,017750e17c2421df0e4fe40ce4fe5cc00ad8419496072ce45ba8b0de709b2b60,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,c40fedd273cade53989af8adc3ca66d02f2d92ca4d97b2f6391a0dd0ab6dbca3,,,full,0.2,True
