Analysis ID,Row Type,Recovery Training Seed,Training Target Steps,Actual Trained Steps,Selected Checkpoint Steps,Checkpoint,Checkpoint SHA256,Success Rate,Success CI Lower,Success CI Upper,Success Rate Sample Std,Recovery Rate,Recovery CI Lower,Recovery CI Upper,Recovery Rate Sample Std,Paired Gain vs ACT (pp),Paired Gain Sample Std (pp),Paired Gain CI Lower (pp),Paired Gain CI Upper (pp),Rescued,Harmed,Exact McNemar p,Successes,Recovery Attempts,Recovery Successes,Episodes,Evaluation Seed Start,Evaluation Seed End,Noise Level,Training Seed Count,Result Scope,Benchmark Eligible,Fixed ACT SHA256,Fixed Detector SHA256,Frozen Config SHA256
equal_budget_500k_n3,training_seed,42,500000,500136,118248,recovery_trigger_seed42_500k.zip,55d92acfdd98061e198c4e27fac882e735f5ef4a1336c578e520f1ee8df0ffe7,0.865,0.8107086162924745,0.9055342954521209,,0.7378640776699029,0.6454813295611582,0.8131421349708442,,10.999999999999998,,6.499999999999995,15.500000000000004,23,1,2.9802322387695312e-06,173,103,76,200,7000042,7000241,0.2,1,equal_budget_500k_model_seed_stability_not_primary_benchmark,False,da3ea384f469a290472920cc0b15575b671ea8febead6af72cc2832e8fbaba33,62c93c5250a5cb50fcf31fee6d00f17da13f773d44e8a7adc7a5406b92c22d34,9b75b6318c287725b4e977b9f1c66c1da6edc0ccde00cfa338f493e71cf16f63
equal_budget_500k_n3,training_seed,43,500000,503808,40000,recovery_trigger_seed43_500k.zip,23ccadbc6eef8be9cd557202c319274d9ad519b96f6e93049a7aebd9034b6656,0.81,0.7499876129240015,0.8583282847220932,,0.6310679611650486,0.5347408308679622,0.7179700577517127,,5.500000000000005,,2.0000000000000018,9.499999999999996,13,2,0.00738525390625,162,103,65,200,7000042,7000241,0.2,1,equal_budget_500k_model_seed_stability_not_primary_benchmark,False,da3ea384f469a290472920cc0b15575b671ea8febead6af72cc2832e8fbaba33,62c93c5250a5cb50fcf31fee6d00f17da13f773d44e8a7adc7a5406b92c22d34,9b75b6318c287725b4e977b9f1c66c1da6edc0ccde00cfa338f493e71cf16f63
equal_budget_500k_n3,training_seed,44,500000,503808,10000,recovery_trigger_seed44_500k.zip,dbc5cb5c787d7b48568ef91e207633622f24ec4c9081cfd0b6d4b871ecf86746,0.87,0.8163364812775159,0.9097179772033067,,0.7475728155339806,0.6558210776288516,0.8215217119860896,,11.5,,7.499999999999996,16.000000000000004,23,0,2.384185791015625e-07,174,103,77,200,7000042,7000241,0.2,1,equal_budget_500k_model_seed_stability_not_primary_benchmark,False,da3ea384f469a290472920cc0b15575b671ea8febead6af72cc2832e8fbaba33,62c93c5250a5cb50fcf31fee6d00f17da13f773d44e8a7adc7a5406b92c22d34,9b75b6318c287725b4e977b9f1c66c1da6edc0ccde00cfa338f493e71cf16f63
equal_budget_500k_n3,aggregate_mean_sample_std,mean_n3,500000,all>=500000,,,,0.8483333333333333,,,0.033291640592396934,0.7055016181229773,,,0.06464396231533388,9.333333333333334,3.329164059239693,,,,,,,,,200,7000042,7000241,0.2,3,equal_budget_500k_model_seed_stability_not_primary_benchmark,False,da3ea384f469a290472920cc0b15575b671ea8febead6af72cc2832e8fbaba33,62c93c5250a5cb50fcf31fee6d00f17da13f773d44e8a7adc7a5406b92c22d34,9b75b6318c287725b4e977b9f1c66c1da6edc0ccde00cfa338f493e71cf16f63
