benchmark,threshold,task_macro_precision,task_macro_recall,task_macro_f1,micro_precision,micro_recall,micro_f1,predicted_positive_rate,precision_constraint_satisfied,selected,task_macro_auroc,task_macro_auprc,task_macro_ece,micro_auroc,micro_auprc,micro_ece
MT10,0.01,0.25871639635050786,0.9997903203310242,0.40909507136956424,0.25994891310014073,0.9997995027668618,0.4126169809603402,0.9960020768431983,False,False,0.7818004333749974,0.5839069222720904,0.17906368429597053,0.7861649689638419,0.5993030873982922,0.1789333899412691
MT10,0.02,0.2630532208311483,0.9971223673810963,0.41438709373469634,0.264597356472177,0.9977945304354799,0.41827549399473857,0.9765420560747664,False,False,0.7818004333749974,0.5839069222720904,0.17906368429597053,0.7861649689638419,0.5993030873982922,0.1789333899412691
MT10,0.03,0.26780742615694053,0.9925568598543013,0.419936331439423,0.2693749388846033,0.9941855802389927,0.4238952956564111,0.9557528556593977,False,False,0.7818004333749974,0.5839069222720904,0.17906368429597053,0.7861649689638419,0.5993030873982922,0.1789333899412691
MT10,0.04,0.2734927040694466,0.988076012009607,0.4266051442453545,0.27475743279330606,0.990175635576229,0.43015416775542203,0.9332502596053998,False,False,0.7818004333749974,0.5839069222720904,0.17906368429597053,0.7861649689638419,0.5993030873982922,0.1789333899412691
MT10,0.05,0.2791125635081048,0.9846109755800727,0.43320616610827783,0.2798640631038167,0.9873686743122945,0.4361140630534891,0.9136240913811007,False,False,0.7818004333749974,0.5839069222720904,0.17906368429597053,0.7861649689638419,0.5993030873982922,0.1789333899412691
MT10,0.060000000000000005,0.28427521278844914,0.9815661594205907,0.43912460301707384,0.28432030743587366,0.9849627075146363,0.4412647085242073,0.8971131879543095,False,False,0.7818004333749974,0.5839069222720904,0.17906368429597053,0.7861649689638419,0.5993030873982922,0.1789333899412691
MT10,0.06999999999999999,0.2891619032836239,0.9780097281740924,0.44455613334278565,0.288527679623086,0.9822760445905846,0.44603871155702035,0.881619937694704,False,False,0.7818004333749974,0.5839069222720904,0.17906368429597053,0.7861649689638419,0.5993030873982922,0.1789333899412691
MT10,0.08,0.29335084755735125,0.9745117641226978,0.449064318530848,0.2920737029641409,0.9795091827732777,0.44997282884011386,0.8684631360332294,False,False,0.7818004333749974,0.5839069222720904,0.17906368429597053,0.7861649689638419,0.5993030873982922,0.1789333899412691
MT10,0.09,0.2976843606146557,0.9714418314673701,0.4537247020190186,0.29571771902993227,0.976942818189109,0.45400842309269124,0.8555140186915888,False,False,0.7818004333749974,0.5839069222720904,0.17906368429597053,0.7861649689638419,0.5993030873982922,0.1789333899412691
MT10,0.09999999999999999,0.3015009460544702,0.9678269653867743,0.45765898527094917,0.2989460983477383,0.9736546635656428,0.4574415975885456,0.8434267912772586,False,False,0.7818004333749974,0.5839069222720904,0.17906368429597053,0.7861649689638419,0.5993030873982922,0.1789333899412691
