method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,Profile,noise_level,Benchmark Eligible
REIM (ACT + Detector + Recovery),13,7800055,metaworld,True,49,0.10373636499934946,1,1,1,38,0.24890528619289398,task_success_while_recovery_active_per_intervention,True,False,,5061519394e2c4e778f01417f842e2cc370368453c1a341bd385c122f80f94d3,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,60ddb994ff576f8dd62245f3bfb1d17936d6aa1545245d63e09397449cd519a6,,,custom,0.2,False
REIM (ACT + Detector + Recovery),14,7800056,metaworld,True,55,0.22880215600162046,0,0,0,0,0.15252207219600677,task_success_while_recovery_active_per_intervention,True,False,,7c224561a18d969c534e230214c453d274c109332b0ab0a05fa33688379fe33a,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,63b1efc765f13e1d2e3b881aebb6c442aef948354f2d39bede3ddcef90de65ac,,,custom,0.2,False
REIM (ACT + Detector + Recovery),15,7800057,metaworld,True,59,0.1558603259982192,1,1,1,35,0.26170870661735535,task_success_while_recovery_active_per_intervention,True,False,,c56d4e0444b557d82a74029522af43c96badc6dce837131612e258df2b989a28,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,4b9422cc01e24b1c1439a0e3d78eb0a9282c7bdadd492fc4f67d84d6212b5705,,,custom,0.2,False
REIM (ACT + Detector + Recovery),16,7800058,metaworld,True,57,0.23813405799955945,0,0,0,0,0.19948165118694305,task_success_while_recovery_active_per_intervention,True,False,,3e6e3a81268c88b4e5ccd50e02af95ab802ad6ccfed9b482b93dbbdc1ed7924d,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,9757d6cd0e1a868e58dfd3f5f136b6bc0545f602740599df9c9fd33f3b15c8b2,,,custom,0.2,False
REIM (ACT + Detector + Recovery),17,7800059,metaworld,True,53,0.2232397879997734,0,0,0,0,0.19505509734153748,task_success_while_recovery_active_per_intervention,True,False,,8038536dceb71562dcf9ad9f7f62783bba63e58cabf06e37ada6e34f51666318,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,678813301edb4bd1be60e32fb96ea8e0016a31a8c47465f70c59b97bf071e0c3,,,custom,0.2,False
REIM (ACT + Detector + Recovery),18,7800060,metaworld,True,56,0.23611193999749958,0,0,0,0,0.14788737893104553,task_success_while_recovery_active_per_intervention,True,False,,1bbe0075222fcd5d5cb83fe0d00b75ee21a6919f112354ec62c2c6392ead8794,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,94a6136a662a1eb11235ea163ce2d17f1dff0738da86887befc6a9fddb538553,,,custom,0.2,False
REIM (ACT + Detector + Recovery),19,7800061,metaworld,True,52,0.1261668519982777,1,1,1,35,0.2540206015110016,task_success_while_recovery_active_per_intervention,True,False,,241df05448f0bb65f1872d9b52d3f9e17fa40ff78c94b93389e5f945015bae5e,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,64d0420b8e8394f819f97e019cee97680926daf483410a9ecdbcef2e358372c2,,,custom,0.2,False
REIM (ACT + Detector + Recovery),20,7800062,metaworld,True,57,0.23549413699947763,0,0,0,0,0.1931741088628769,task_success_while_recovery_active_per_intervention,True,False,,5ad6cb2b48764638291b07c74434d542fa39ee61aebcda474ed660a695cfc997,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,9757d6cd0e1a868e58dfd3f5f136b6bc0545f602740599df9c9fd33f3b15c8b2,,,custom,0.2,False
REIM (ACT + Detector + Recovery),21,7800063,metaworld,True,50,0.13213438200182281,1,1,1,29,0.23287995159626007,task_success_while_recovery_active_per_intervention,True,False,,e82df24981e3507be911d5c80ef3fc8ac3a32338e1acaefe93818e4755533f91,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,fd895564b12f4c85e1a4a7ea8329c69981566e96ba5b293d9ed751fcb3c59dcd,,,custom,0.2,False
REIM (ACT + Detector + Recovery),22,7800064,metaworld,True,53,0.10578585999974166,1,1,1,44,0.34596291184425354,task_success_while_recovery_active_per_intervention,True,False,,945418728e319b3fdc63c3c069f91ed805cb6685abbb52eee0155f3ecd0a9619,4fcc3bf29d3f42b9d491d8e093ef8931a723e1ba62d110a11e64011c41334dda,84290549c371af14c30b32f7862063d25a739abc0cdd0937f23e65650e76882b,,,custom,0.2,False
