epoch,train_loss,validation_loss,train_l1,validation_l1,train_kl,validation_kl,learning_rate
1.0,157.8240615769544,1.9864855172653169,0.27270826591113334,0.1670819715872696,15.755135838783186,0.18194035490845128,0.0001
2.0,11.133235051025155,0.7401953255236943,0.12497291913018231,0.0874289612325823,1.100826213966605,0.06527663687419057,0.0001
3.0,4.443532596047147,0.3064572006157933,0.0801908936258964,0.06275703841179167,0.4363341740797806,0.02437001648126967,0.0001
4.0,2.2629562008145943,0.18723226424495093,0.06208051727077546,0.04360571857038765,0.22008757031464435,0.014362654695836434,0.0001
5.0,1.321784491771904,0.15807080944484975,0.05164949124951902,0.039876073970115423,0.12701350052002258,0.011819473593525897,0.0001
6.0,0.8680994542317199,0.08922005419542509,0.04606109324335132,0.0380649999175157,0.08220383616957587,0.005115505233166131,0.0001
7.0,0.607866738909008,0.09593114742039274,0.040722445595208254,0.02765413827219246,0.056714429406907275,0.00682770085693562,0.0001
8.0,0.4535990748685348,0.05871762789873716,0.03740433526848664,0.024926828106418223,0.04161947404370414,0.003379079987946437,0.0001
9.0,0.34630700451957946,0.0601529923681072,0.033761249248963086,0.02533938841148219,0.03125457551901731,0.0034813603904196044,0.0001
10.0,0.2704686399494979,0.0425648064005053,0.031123490138705613,0.022837123794274983,0.023934515033495047,0.0019727682595779943,0.0001
11.0,0.2119181865080872,0.03795000942074649,0.02956916413237217,0.01958638252446002,0.018234902232144773,0.0018363626646894654,0.0001
12.0,0.17364995699462057,0.035184671125311325,0.028280278355611015,0.019457419585335974,0.014536967748439301,0.0015727252430293515,0.0001
13.0,0.13664737301268123,0.03001197520041248,0.027172817902730486,0.016453660472649366,0.010947455566507327,0.0013558314688529958,0.0001
14.0,0.11063487427093682,0.032134928330694056,0.025735077151155614,0.019477491471427574,0.008489979751289988,0.001265743707810426,0.0001
15.0,0.09197123024896771,0.026399979944570794,0.02526715779110419,0.014495132081479843,0.006670407224654028,0.0011904847597137955,0.0001
16.0,0.07561371944966026,0.030825056966015847,0.023176865905982977,0.01991217491667209,0.0052436852751853585,0.0010912881777279955,0.0001
17.0,0.06433058636200766,0.02577717048206362,0.022366832491032773,0.01779844476347212,0.004196375391694247,0.0007978725593497062,0.0001
18.0,0.05696270292706232,0.01743921254378573,0.022315459022970413,0.012370683066476066,0.003464724382923496,0.0005068529823500225,0.0001
19.0,0.05035788842190405,0.02673442584252394,0.02116841405419427,0.017963558905529472,0.002918947423667022,0.0008770867124481142,0.0001
20.0,0.046680011909898775,0.02247805910000061,0.021282641158376175,0.016266145957396505,0.002539737030964316,0.0006211912868769054,0.0001
21.0,0.04232928092242717,0.019019374587052718,0.020294003854501728,0.011757965581530557,0.002203527708448495,0.0007261408855984489,0.0001
22.0,0.04045379915000949,0.01581415072573755,0.019162688378145682,0.011466821722584267,0.002129111082162213,0.0004347329046969547,0.0001
23.0,0.036944167976105634,0.01829308848126663,0.018699110620802758,0.014089952903516667,0.0018245057562595965,0.00042031356806595117,0.0001
24.0,0.03450974195480551,0.018349562125821086,0.018853220057569207,0.01545026377495272,0.0015656522059798777,0.0002899298249730063,0.0001
25.0,0.03304197429882837,0.015371169091495284,0.01810624436878351,0.011536048901309505,0.0014935729819874261,0.00038351201901857775,0.0001
26.0,0.03248214404822519,0.019504668079840904,0.017669425238859175,0.01069700347522494,0.0014812718868980244,0.0008807664547537476,0.0001
27.0,0.032697729014926416,0.015069312889294712,0.01787238080044945,0.008876442313038404,0.0014825348159531332,0.0006192870556639728,0.0001
28.0,0.03009538856153827,0.014719402470678012,0.01752643120006659,0.011145680273123888,0.0012568957472599935,0.0003573722312441744,0.0001
29.0,0.028719347456490883,0.016776815140403783,0.016446517532549308,0.012094383785829157,0.001227282992649533,0.00046824316174722143,0.0001
30.0,0.029116945337079588,0.017041230652893664,0.017059533927835453,0.01289714289068915,0.001205741152671687,0.0004144087517395801,0.0001
31.0,0.026975829722144302,0.014977155735070781,0.016702416207523253,0.011723279406749826,0.0010273413555481133,0.0003253876165033964,0.0001
32.0,0.025348509512299028,0.015134537727145153,0.01562782713398018,0.010556454927199647,0.0009720682331912328,0.0004578082791022842,0.0001
33.0,0.024339727820842923,0.017706021014707266,0.01573477025944245,0.012171620454535756,0.0008604957581172125,0.0005534400551005299,0.0001
34.0,0.024591826164221908,0.01641604266586062,0.0160187034161431,0.012973331916615361,0.0008573122673800444,0.00034427107795557526,0.0001
35.0,0.023402527261337052,0.012187629847437676,0.015914558581114072,0.010253580157443478,0.0007487968555747371,0.0001934049544032233,0.0001
36.0,0.020697445360801623,0.013968574267891071,0.014963751043501887,0.012018100641945575,0.0005733694405913043,0.000195047358136538,0.0001
37.0,0.020850282953453553,0.011553875343521973,0.014444045456415226,0.009078198036383702,0.0006406237528481438,0.0002475677449280979,0.0001
38.0,0.02115319013825419,0.011708332299364297,0.014645922684047656,0.009393763438663518,0.0006507267465518872,0.00023145689732968465,0.0001
39.0,0.018768823762275056,0.009810867728916988,0.014064768342989167,0.008422555731727783,0.0004704055450619266,0.0001388312113604527,0.0001
40.0,0.018112914769526416,0.013316056969904682,0.013949946506745354,0.010060400834902923,0.0004162968201710401,0.00032556560338634576,0.0001
41.0,0.020899668983291538,0.011133930695123797,0.014302904555779957,0.008022769527157685,0.0006596764299823825,0.00031111612420928723,0.0001
42.0,0.019561088406947705,0.011364804882628468,0.014045712243583638,0.008989986749603274,0.0005515376241872089,0.00023748180695923492,0.0001
43.0,0.01878575946251449,0.01168653358003573,0.013390357944485513,0.008533727257385335,0.0005395401489359088,0.00031528062773064294,0.0001
44.0,0.018911358260812163,0.014683702728576808,0.013683639554867094,0.013179062560665467,0.0005227718748231662,0.00015046400176098172,0.0001
45.0,0.020339180753209597,0.010650175344092667,0.014263388767659715,0.008955325641888614,0.0006075791957239112,0.0001694849687934431,0.0001
46.0,0.015536807266310584,0.00813188374707792,0.013075870371742083,0.007606557609188201,0.0002460936858596467,5.253261828517609e-05,0.0001
47.0,0.013780611547248018,0.007872128820194859,0.012711290546693706,0.00751879858543842,0.00010693210537168105,3.5333028086425704e-05,0.0001
48.0,0.013951643316622667,0.008338995256980888,0.012901191711553468,0.00805925270461025,0.00010504515614358975,2.7974257695224894e-05,0.0001
49.0,0.014229545841550562,0.00941640346499848,0.012928158741032557,0.008374682316055664,0.00013013871030717603,0.00010417211919952291,0.0001
50.0,0.022287108473345675,0.011019417976754367,0.012294085759545046,0.0065932739295771065,0.0009993022760346807,0.00044261441151932104,0.0001
51.0,0.02312220711047157,0.012180336316379362,0.012332057281722089,0.008281386508395596,0.0010790149921482714,0.0003898949875999717,0.0001
52.0,0.021353502303438507,0.011198914725689119,0.01218890071652619,0.006722967786882349,0.000916460166665731,0.0004475947094455251,0.0001
53.0,0.019268057610274586,0.01246581250959678,0.012028693154952214,0.007904748306048204,0.0007239364503265136,0.0004561064291181104,0.0001
54.0,0.015507621195681246,0.007348622037073014,0.012757974492119436,0.007136362157379461,0.0002749646677914528,2.1225975812223716e-05,0.0001
55.0,0.012509394134135458,0.008030113153912045,0.011997273143767136,0.00780107420059711,5.1212101388706096e-05,2.29038952742047e-05,0.0001
