event_offset,phase,samples,predicted_positive_samples,predicted_positive_rate,mean_probability,median_probability
-1,no_event_within_horizon,65516,10516,0.1605104096709201,0.3362047928919786,0.2867404520511627
0,current_event,19066,10785,0.5656666317004091,0.6301530611165064,0.6764678955078125
1,strict_future_event,1795,875,0.48746518105849584,0.5892556200379864,0.6121280789375305
2,strict_future_event,1388,664,0.4783861671469741,0.5871720416337166,0.6019738912582397
3,strict_future_event,1200,575,0.4791666666666667,0.5851788927195594,0.6084704399108887
4,strict_future_event,1096,518,0.4726277372262774,0.5869902999303473,0.6037597954273224
5,strict_future_event,1007,484,0.48063555114200596,0.5826782785603905,0.6056134104728699
6,strict_future_event,957,447,0.4670846394984326,0.5807742280934236,0.5949101448059082
7,strict_future_event,914,435,0.4759299781181619,0.5825256298701696,0.6058132946491241
8,strict_future_event,871,430,0.4936854190585534,0.583825019749585,0.6161609888076782
9,strict_future_event,845,420,0.4970414201183432,0.587304884583287,0.6165558099746704
10,strict_future_event,816,396,0.4852941176470588,0.5855105796271899,0.6087335646152496
