method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,terminated,truncated,failure_reason,Profile,noise_level
REIM (ACT + Detector + Recovery),67,4500109,metaworld,True,56,0.15505887600011192,0,0,0,0,0.17398977279663086,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),68,4500110,metaworld,True,56,0.14115688700076134,1,1,1,30,0.2022043764591217,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),69,4500111,metaworld,True,54,0.14853648499956762,0,0,0,0,0.1934491991996765,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),70,4500112,metaworld,True,63,0.18910996199883812,0,0,0,0,0.15540796518325806,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),71,4500113,metaworld,False,200,0.5206452919992444,1,0,1,150,0.9836116433143616,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),72,4500114,metaworld,False,200,0.48455481199926,1,0,1,150,0.9966447353363037,False,True,object_dropped,custom,0.2
REIM (ACT + Detector + Recovery),73,4500115,metaworld,True,62,0.15503598699979193,1,1,1,45,0.2211771458387375,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),74,4500116,metaworld,True,51,0.12979189900033816,1,1,1,34,0.23929639160633087,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),75,4500117,metaworld,False,200,0.5153508849998616,1,0,1,144,0.9935469031333923,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),76,4500118,metaworld,True,54,0.13309040599961008,1,1,1,44,0.3565829396247864,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),77,4500119,metaworld,True,51,0.15753218900135835,1,1,1,39,0.20809604227542877,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),78,4500120,metaworld,True,57,0.13561075299912773,1,1,1,45,0.25234466791152954,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),79,4500121,metaworld,True,60,0.16439086100035638,1,1,1,45,0.20827384293079376,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),80,4500122,metaworld,True,49,0.12047849699956714,1,1,1,40,0.37215614318847656,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),81,4500123,metaworld,True,58,0.14615641300042626,1,1,1,47,0.33171239495277405,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),82,4500124,metaworld,True,57,0.15923176299838815,0,0,0,0,0.17476260662078857,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),83,4500125,metaworld,False,200,0.5083710849994532,1,0,1,150,0.9355177283287048,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),84,4500126,metaworld,True,53,0.28884841299986874,1,1,1,43,0.3025054633617401,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),85,4500127,metaworld,True,61,0.21678693300054874,1,1,1,38,0.25684934854507446,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),86,4500128,metaworld,False,200,0.7433073739994143,1,0,1,150,0.9323409199714661,False,True,timeout,custom,0.2
REIM (ACT + Detector + Recovery),87,4500129,metaworld,False,200,0.5015050379988679,1,0,1,150,0.9882340431213379,False,True,object_dropped,custom,0.2
REIM (ACT + Detector + Recovery),88,4500130,metaworld,True,53,0.13748216000021785,1,1,1,44,0.33006155490875244,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),89,4500131,metaworld,True,58,0.18592153600002348,0,0,0,0,0.16867312788963318,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),90,4500132,metaworld,True,54,0.15195700999902328,0,0,0,0,0.17673276364803314,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),91,4500133,metaworld,True,55,0.16297836199919402,1,1,1,46,0.26288220286369324,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),92,4500134,metaworld,True,50,0.15918678500020178,0,0,0,0,0.11010371148586273,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),93,4500135,metaworld,True,54,0.13820382800076914,1,1,1,30,0.21697285771369934,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),94,4500136,metaworld,True,51,0.15379863300040597,0,0,0,0,0.17590908706188202,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),95,4500137,metaworld,True,58,0.147642330999588,1,1,1,48,0.29338520765304565,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),96,4500138,metaworld,True,52,0.13181457799873897,1,1,1,39,0.2803160548210144,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),97,4500139,metaworld,True,57,0.1545319169999857,1,1,1,24,0.20448794960975647,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),98,4500140,metaworld,True,52,0.15162659300040104,0,0,0,0,0.16477274894714355,True,False,,custom,0.2
REIM (ACT + Detector + Recovery),99,4500141,metaworld,True,62,0.16780969200044638,1,1,1,54,0.2572743892669678,True,False,,custom,0.2
