epoch,train_loss,validation_loss,accuracy,precision,recall,f1,learning_rate
1,0.8142764458076199,0.8176948921815292,0.7280491615456723,0.45765164862824065,0.6211461269109232,0.5270098909459803,0.0005
2,0.6812447820743918,0.8497779838133201,0.7239454223518383,0.45443807948975373,0.6571867794004612,0.5373228126527477,0.0005
3,0.6085332718738048,0.8869599191400734,0.7280699927090928,0.46005346005346004,0.661456998889743,0.5426709641255605,0.0005
4,0.5441217129184442,0.9777242501022145,0.7334236017081553,0.4663032705649158,0.6429242463062601,0.5405521846838761,0.0005
5,0.48530479126506243,1.1361194314093481,0.7504843245495261,0.48995444021211443,0.5602527969937655,0.5227508167981513,0.0005
6,0.433843263204292,1.1994070660135496,0.7369024059993751,0.4691705161679052,0.5985139636177299,0.5260076559333484,0.0005
7,0.3905446886516359,1.5141857058986279,0.7570878033538173,0.5020373514431239,0.5050815611922452,0.5035548554642598,0.0005
8,0.34945804061165087,1.6013990160078198,0.7340901989376106,0.46265912305516266,0.5587155179776241,0.506170451468142,0.0005
9,0.3123901640504981,1.7291145193565638,0.7474429746901364,0.4833827180267478,0.5155008967460928,0.49892544222185486,0.0005
10,0.2774165417993155,1.9637795129153595,0.7350692636183731,0.4616203879802206,0.5182338372192331,0.48829162307878005,0.0005
11,0.25544663869408163,2.0204866069615504,0.7337360691594625,0.4604904632152589,0.5340336493295755,0.49454286618158816,0.0005
