Method,Success Rate,Success CI Lower,Success CI Upper,Recovery Rate,Recovery CI Lower,Recovery CI Upper,Recovery Definition,Post-Intervention Task Success Rate,Post-Intervention Task Success CI Lower,Post-Intervention Task Success CI Upper,Average Steps,Steps CI Lower,Steps CI Upper,Average Time (s),Episodes,Successes,Recovery Attempts,Recovery Successes,Detector Triggers,Intervened Episodes,Post-Intervention Task Successes,Backend,Benchmark Eligible,Profile,Noise Level,Action Noise Std,Observation Noise Std,Object Impulse Std (m),Evaluation Seed Start,Evaluation Seed End
ACT,0.744,0.7160527265828488,0.7700798152762004,0.0,0.0,0.0,not_applicable,,,,91.342,87.52155,95.32024999999999,0.7135582424140211,1000,744,0,0,0,0,0,metaworld,True,full,0.2,0.08000000000000002,0.005000000000000001,0.020000000000000004,6000042,6001041
ACT + Random Reset,0.82,0.7949777670979878,0.8425731074712568,0.7435897435897436,0.7118396115882211,0.7757927002798464,post_reset_task_success_per_reset,0.7435897435897436,0.710023935647373,0.7745041346807808,92.162,89.01995,95.29835,0.5771312661090142,1000,820,702,522,702,702,522,metaworld,True,full,0.2,0.08000000000000002,0.005000000000000001,0.020000000000000004,6000042,6001041
ACT + RL Recovery,0.884,0.8626667265227275,0.9023943229603661,0.8330935251798561,0.805593441363592,0.8607963716251468,task_success_while_recovery_active_per_intervention,0.8330935251798561,0.8035553479645834,0.8589697414617361,71.72,68.847875,74.679325,0.42404758394902275,1000,884,695,579,695,695,579,metaworld,True,full,0.2,0.08000000000000002,0.005000000000000001,0.020000000000000004,6000042,6001041
REIM (ACT + Detector + Recovery),0.862,0.8392340001264323,0.8819954267300257,0.7463235294117647,0.7116779888554582,0.7842841920268264,task_success_while_recovery_active_per_intervention,0.7463235294117647,0.7081199310663532,0.7810726915162965,74.312,71.31394999999999,77.665375,0.5278538644240179,1000,862,544,406,544,544,406,metaworld,True,full,0.2,0.08000000000000002,0.005000000000000001,0.020000000000000004,6000042,6001041
