epoch,train_loss,validation_loss,accuracy,precision,recall,f1,learning_rate
1,0.797209132740805,0.8200035966963173,0.7142886433067476,0.47843356928247693,0.7178331295843521,0.5741787624140565,0.0005
2,0.6692238227075026,0.8486278943450607,0.7166054989440879,0.4803994872890408,0.687270782396088,0.5655098704891236,0.0005
3,0.5977579764865525,0.8971543891193354,0.7037705287761672,0.46652554888254405,0.7240984107579462,0.5674510508352794,0.0005
4,0.5358553176172456,0.9586504248794239,0.7233920406782441,0.4887411297982902,0.6683221271393643,0.5645957721478134,0.0005
5,0.47998434099265724,1.0795540054384172,0.7040370696901974,0.46575133485888637,0.6998013447432763,0.5592770127927214,0.0005
6,0.42991798430798295,1.1962755611075657,0.7224078896110553,0.4869191948488891,0.6413508557457213,0.5535661291918093,0.0005
7,0.38245826147829337,1.4130596932570416,0.7230434871752814,0.4871418074944893,0.6078850855745721,0.5408565601631543,0.0005
8,0.3456327301031671,1.4852418929672695,0.7174871342751112,0.4792902955103998,0.6109413202933985,0.5371670417520406,0.0005
9,0.31211036895240263,1.5717701688553973,0.7079531708117196,0.46737412508466925,0.632640586797066,0.5375925204518894,0.0005
10,0.28012576966437996,1.7078211605225007,0.6999774465380436,0.45721880711081575,0.6308068459657702,0.5301653555947986,0.0005
11,0.2529069777499212,1.90239429129494,0.7206446189490087,0.4828555009258668,0.5777811735941321,0.526070472016418,0.0005
