epoch,train_loss,validation_loss,accuracy,precision,recall,f1,learning_rate
1,0.8132230381737793,0.788856346127409,0.776431514853312,0.48842577749278615,0.7224013657056145,0.5828072994376219,0.0005
2,0.6348320231843725,0.7835606983242375,0.7692355003382741,0.47834022876612314,0.7456373292867982,0.582802075611564,0.0005
3,0.5700999432981425,0.8158694468225542,0.7563810812473092,0.4614853592590462,0.7608118361153262,0.5744977978300569,0.0005
4,0.5132824447281252,0.8846603020077705,0.7854931627611375,0.5027810203941495,0.6944233687405159,0.58326363165651,0.0005
5,0.46770406725547164,0.9091096348588698,0.778891690755889,0.49204042539137327,0.7064681335356601,0.5800724214460926,0.0005
6,0.42463527816268387,0.9902157199278425,0.77932222153884,0.49252717391304346,0.6875948406676783,0.5739392020265991,0.0005
7,0.3897593099592779,1.0670865301931711,0.7729052627262849,0.4820478275513641,0.678679817905918,0.5637086927409508,0.0005
8,0.3467296906087889,1.1700623330625242,0.7751194210386042,0.4854938903679432,0.6745068285280729,0.5646012781328146,0.0005
9,0.3160590303549632,1.3529174578307894,0.7794657317998237,0.4919713531850735,0.6189301972685888,0.5481960603133269,0.0005
10,0.28506833309900936,1.453996834161158,0.7804293006949997,0.49374811690268156,0.6216805766312595,0.5503778337531486,0.0005
11,0.25582355633852527,1.5538412464838844,0.7768005412386986,0.4870634381836011,0.612386191198786,0.5425822444435108,0.0005
12,0.2331196350426727,1.7065690689368263,0.7810853476023536,0.4946960101329956,0.5926593323216995,0.539264756644805,0.0005
