benchmark,threshold,task_macro_precision,task_macro_recall,task_macro_f1,micro_precision,micro_recall,micro_f1,predicted_positive_rate,precision_constraint_satisfied,selected,task_macro_auroc,task_macro_auprc,task_macro_ece,micro_auroc,micro_auprc,micro_ece
MT10,0.01,0.27770675099504094,0.994408338826316,0.4304677244393978,0.26859062072397066,0.995665406252882,0.4230573298326737,0.84203580144756,False,False,0.8361049393676601,0.6236121161094214,0.13962847188523447,0.8381557226953682,0.6295874451770537,0.14065107654453696
MT10,0.02,0.2931848445274452,0.9889971772539067,0.4471637039897243,0.27888968156170957,0.9914691506040764,0.43532663163968777,0.8075227032292529,False,False,0.8361049393676601,0.6236121161094214,0.13962847188523447,0.8381557226953682,0.6295874451770537,0.14065107654453696
MT10,0.03,0.3045658588825203,0.9851483880654722,0.45897343693874815,0.2862178075059078,0.9885640505395186,0.44391067120834066,0.7845419027767594,False,False,0.8361049393676601,0.6236121161094214,0.13962847188523447,0.8381557226953682,0.6295874451770537,0.14065107654453696
MT10,0.04,0.31371535021692004,0.982094508726493,0.4683230075544939,0.2923240996472422,0.985889513972148,0.4509406901206445,0.7660755622126091,False,False,0.8361049393676601,0.6236121161094214,0.13962847188523447,0.8381557226953682,0.6295874451770537,0.14065107654453696
MT10,0.05,0.3213735264130935,0.9789066320006642,0.4759327166255719,0.2976905247284202,0.9831227520059024,0.45700077167109665,0.7501544971771533,False,False,0.8361049393676601,0.6236121161094214,0.13962847188523447,0.8381557226953682,0.6295874451770537,0.14065107654453696
MT10,0.060000000000000005,0.3284132722184731,0.9750690944990316,0.48279817772082356,0.3028600758504662,0.9795259614497833,0.462667712144973,0.7346524075373674,False,False,0.8361049393676601,0.6236121161094214,0.13962847188523447,0.8381557226953682,0.6295874451770537,0.14065107654453696
MT10,0.06999999999999999,0.33489610246348206,0.9702330279027672,0.4889320676937456,0.3079475982532751,0.9755602692981648,0.46812559467174125,0.7195902420630349,False,False,0.8361049393676601,0.6236121161094214,0.13962847188523447,0.8381557226953682,0.6295874451770537,0.14065107654453696
MT10,0.08,0.34089570920440665,0.9664753858190755,0.4946922491586852,0.3130269564184776,0.9724246057364198,0.47360028746603183,0.7056383613872276,False,False,0.8361049393676601,0.6236121161094214,0.13962847188523447,0.8381557226953682,0.6295874451770537,0.14065107654453696
MT10,0.09,0.3466616256426421,0.9617739170149815,0.4999949097706189,0.31769477571281557,0.967997786590427,0.478384722317176,0.6921054561070901,False,False,0.8361049393676601,0.6236121161094214,0.13962847188523447,0.8381557226953682,0.6295874451770537,0.14065107654453696
MT10,0.09999999999999999,0.352049009152569,0.9573797776715347,0.5049342385540849,0.32213213305792765,0.963663192843309,0.48285582255083176,0.67951524546721,False,False,0.8361049393676601,0.6236121161094214,0.13962847188523447,0.8381557226953682,0.6295874451770537,0.14065107654453696
