terminal_positive_horizon,selected_threshold,val_task_macro_precision,val_task_macro_recall,val_task_macro_f1,val_task_macro_auprc,strict_pre_event_precision,strict_pre_event_recall,strict_pre_event_f1,current_event_window_recall,event_trajectories,strict_pre_event_detection_rate,lead_time_mean_steps,lead_time_median_steps,non_event_trajectory_alert_rate
0,0.72,0.604862273525099,0.5359679136290886,0.5553981224309777,0.6236121161094214,0.38772225628448803,0.4776697195732226,0.4280214899107407,0.5946822893195133,180,0.3,6.851851851851852,1.0,0.35
10,0.71,0.602407428534076,0.49301460916029505,0.536696043231428,0.602355098577563,0.3954661905131589,0.43386423643641936,0.4137762976200146,0.5433580792923709,192,0.3072916666666667,23.016949152542374,1.0,0.0
25,0.65,0.6000681234633254,0.5047717870284749,0.5442603402966475,0.6056413946813385,0.3674845346493362,0.4647912087912088,0.4104494992624796,0.5351484489415523,192,0.296875,7.578947368421052,2.0,0.0
50,0.62,0.6036342276515678,0.5347202114195642,0.564514862492335,0.6276850732692097,0.33274111675126905,0.48158692258242264,0.39356073398626595,0.5656666317004091,192,0.3229166666666667,6.951612903225806,1.0,0.0
