method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile
ACT,38,6000080,metaworld,True,47,0.39831406899975264,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,39,6000081,metaworld,True,59,0.7550849760009442,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,40,6000082,metaworld,True,52,0.5503371129998413,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,41,6000083,metaworld,True,54,0.6566044760002114,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,42,6000084,metaworld,True,51,0.3704706629996508,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,43,6000085,metaworld,True,53,0.2907804419992317,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,44,6000086,metaworld,True,51,0.42249727200032794,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,45,6000087,metaworld,True,52,0.5381570319987077,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,46,6000088,metaworld,True,58,0.7475389920000453,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,47,6000089,metaworld,True,50,0.4146136489998753,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,48,6000090,metaworld,True,52,0.5321651970007224,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,49,6000091,metaworld,True,54,0.45752242600065074,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,50,6000092,metaworld,True,51,0.3082226959995751,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,51,6000093,metaworld,True,59,0.241800150999552,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,52,6000094,metaworld,True,52,0.18678146700040088,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,53,6000095,metaworld,True,55,0.47128052299922274,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,54,6000096,metaworld,True,53,0.42663642799925583,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,55,6000097,metaworld,True,52,0.45261647699953755,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,56,6000098,metaworld,True,45,0.3313863009989291,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,57,6000099,metaworld,True,52,0.380795021999802,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,58,6000100,metaworld,True,51,0.24777782700039097,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,59,6000101,metaworld,True,55,0.2467317249993357,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,60,6000102,metaworld,True,48,0.16246969900021213,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,61,6000103,metaworld,True,47,0.15193645500039565,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,62,6000104,metaworld,True,53,0.24923390700132586,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,63,6000105,metaworld,True,49,0.25583132800056774,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,64,6000106,metaworld,True,50,0.16242070099906414,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,65,6000107,metaworld,True,56,0.2481875459998264,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,66,6000108,metaworld,True,50,0.3977027860000817,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,67,6000109,metaworld,True,51,0.5715934279996873,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,68,6000110,metaworld,True,55,0.5117016789990885,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,69,6000111,metaworld,True,54,0.4606263290006609,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,70,6000112,metaworld,True,49,0.3425581070005137,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,71,6000113,metaworld,True,54,0.3837847419999889,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,72,6000114,metaworld,True,48,0.36303898699952697,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,73,6000115,metaworld,True,51,0.742708584999491,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,74,6000116,metaworld,True,53,0.28794562599978235,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,75,6000117,metaworld,True,53,0.20219460900079866,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,76,6000118,metaworld,True,53,0.250550201999431,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,77,6000119,metaworld,True,53,0.33538650699847494,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,78,6000120,metaworld,True,59,0.35748622699975385,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,79,6000121,metaworld,True,56,0.2684881370005314,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,80,6000122,metaworld,True,52,0.3417659870010539,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,81,6000123,metaworld,True,52,0.2731984210004157,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,82,6000124,metaworld,True,51,0.16448179399958462,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,83,6000125,metaworld,True,52,0.1920933769997646,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,84,6000126,metaworld,True,55,0.3220131930011121,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,85,6000127,metaworld,True,51,0.22832100300001912,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,86,6000128,metaworld,True,59,0.1922099600014917,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,87,6000129,metaworld,True,51,0.22972825200122315,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,88,6000130,metaworld,True,58,0.3234396360003302,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,89,6000131,metaworld,True,48,0.7367228910006816,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,90,6000132,metaworld,True,51,0.3914419729990186,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,91,6000133,metaworld,True,51,0.37546563100113417,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,92,6000134,metaworld,True,56,0.3564230209995003,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,93,6000135,metaworld,True,53,0.27433686499898613,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,94,6000136,metaworld,True,50,0.27155148000019835,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
ACT,95,6000137,metaworld,True,54,0.5200046219997603,0,0,0,0,0.0,,True,False,,0.0,0.0,0.0,0.0,0.0,0,full
