epoch,train_loss,validation_loss,train_l1,validation_l1,train_kl,validation_kl,learning_rate
1,127.78862753781405,2.658243759926432,0.4048404061433041,0.2922523732421063,12.738378748749241,0.23659913743856742,0.0001
2,15.384186542395389,0.6877551533121271,0.24133647684798096,0.19454637817632411,1.5142850108218915,0.049320877001577154,0.0001
3,6.232717810255108,0.4439738167102799,0.17934790863232178,0.14859559531636413,0.6053369889656702,0.02953782314045121,0.0001
4,3.2962871464816006,0.28950504927278625,0.14731853094064828,0.12866935576625047,0.3148968617121379,0.016083569400229685,0.0001
5,2.0355087627064097,0.22018490792907236,0.13184416463429277,0.11260134607213532,0.19036646006685315,0.01075835621978318,0.0001
6,1.3627270297570662,0.17912182263246204,0.12182386693629352,0.10660087253204317,0.12409031571763934,0.0072520949517781595,0.0001
7,0.9837015623396094,0.16035216468066468,0.11298386199456273,0.09489563257068735,0.08707176972970818,0.006545653110735959,0.0001
8,0.7430508145780275,0.13755632898804504,0.10446984287012707,0.0893419998151419,0.06385809724981134,0.00482143285685468,0.0001
9,0.5834966040018833,0.11962092218139174,0.09725837804602855,0.08471620783908587,0.04862382240367658,0.0034904716773659786,0.0001
10,0.46999668352531665,0.11182380826300994,0.0916511169211431,0.07734779705622803,0.03783455666041735,0.003447601269677999,0.0001
11,0.37894586586590967,0.10640443286779414,0.08641114345554149,0.07299248666628837,0.029253472066061062,0.0033411946371953148,0.0001
12,0.3036080002784729,0.09052302424615327,0.08203899013725194,0.06971403162534548,0.02215690106492151,0.002080899439822925,0.0001
13,0.24538528783754868,0.07949202670910513,0.07795082540674643,0.06790534221060829,0.016743446121726072,0.0011586685252407772,0.0001
14,0.2019860710610043,0.07794989619795965,0.0745758551991347,0.06270685094362656,0.012741021557965061,0.0015243044467135338,0.0001
15,0.17098945627609888,0.0699528591978837,0.07285812463272702,0.061729331023245106,0.00981313321795879,0.0008223528382681187,0.0001
16,0.14672659495563217,0.06738330726104544,0.06985463506796143,0.058874430992795185,0.007687195959134084,0.0008508877420009448,0.0001
