event_offset,phase,samples,predicted_positive_samples,predicted_positive_rate,mean_probability,median_probability
-1,no_event_within_horizon,73785,7989,0.10827403943891034,0.27554899546912276,0.1756628155708313
0,current_event,11095,6598,0.5946822893195133,0.7091459817901076,0.803893506526947
1,strict_future_event,1837,884,0.4812193794229722,0.6384873730522452,0.7053084969520569
2,strict_future_event,1389,652,0.46940244780417567,0.6319694925926881,0.6938631534576416
3,strict_future_event,1180,549,0.4652542372881356,0.6339388955342563,0.696969211101532
4,strict_future_event,1069,502,0.4695977549111319,0.6337055388831083,0.6969044208526611
5,strict_future_event,972,445,0.45781893004115226,0.6306373064491012,0.6872261762619019
6,strict_future_event,916,428,0.4672489082969432,0.6349798167566921,0.6966156661510468
7,strict_future_event,867,432,0.4982698961937716,0.6364779997166652,0.719825029373169
8,strict_future_event,815,406,0.498159509202454,0.6410818050024129,0.718812882900238
9,strict_future_event,790,385,0.4873417721518987,0.6425404674833334,0.710604727268219
10,strict_future_event,756,376,0.4973544973544973,0.6444792956165863,0.712317168712616
