epoch,train_loss,validation_loss,validation_loss_micro
1,0.09242116587904857,0.0661939962408107,0.06912315650632432
2,0.054590247249318435,0.0427300350862628,0.04585091013052512
3,0.03921082270906829,0.03414503673870046,0.036873751771664194
4,0.03250237501169855,0.02815247936574547,0.03100599050341894
5,0.02801621590716835,0.026007151776941653,0.028967460448432507
6,0.02525616018653955,0.02396051518347535,0.026744737038703306
7,0.023600896635038046,0.022403729781823378,0.025016975026122757
8,0.022422582173825974,0.0209856328335734,0.02350060132863159
9,0.021172143999044813,0.020124800057619914,0.022509595423191524
10,0.020170584536348908,0.019228994518715133,0.021499803776122695
11,0.019535826927818516,0.018924782662047276,0.021362123573119715
12,0.01915156648109515,0.018881074469974668,0.021246437433051133
13,0.01841480144532606,0.01805453122261674,0.020269077089204404
14,0.017881625802679834,0.017168680969892575,0.019338804660671005
15,0.01781409429103735,0.017182448446653474,0.019347288057523736
16,0.017208206416831122,0.01708343228224244,0.019329796498203197
17,0.01698723964953353,0.016394971988015646,0.018485079634407355
18,0.01664133351935934,0.015901914103830884,0.017887276389761647
19,0.01638874782649463,0.016000869525356707,0.0181133463129222
20,0.016325843105887083,0.01587181159801659,0.01784385009458115
21,0.016117946323918914,0.015839367525990727,0.017825995634661848
22,0.015858392860158242,0.015927697457164592,0.01791966094024371
23,0.015695609189142517,0.01570087798164528,0.017618483885937498
24,0.015315068655988787,0.01573075203637519,0.017610167218929437
25,0.015276882093751304,0.015321294728372951,0.017330274316533095
26,0.015126565440582251,0.015547117091465355,0.017621623667750237
27,0.014946888323559933,0.014766330556009219,0.01666244529894384
28,0.0147981478998972,0.014891894960848397,0.01680087959832972
29,0.014878196659188379,0.01464318638306622,0.01643319005893724
30,0.014536709369924915,0.014405895644681874,0.016278745303520862
31,0.014536416488453012,0.014833895165679152,0.01661496829933785
32,0.014313651445411666,0.01474078354492238,0.01668168693677424
33,0.014105419161706644,0.014068930446130022,0.015828314271647683
34,0.013899749000732169,0.014262026722965084,0.0161190695859331
35,0.014128621671732098,0.014622549254368756,0.01643586072373245
36,0.013950506903552314,0.01421210935792517,0.01630602957035883
37,0.013755109358496212,0.014950678591335325,0.01668113035482183
38,0.013872170535449445,0.014157294043651136,0.016014429263582
39,0.013759169191709488,0.01417924236220362,0.01598785934669949
40,0.01339623000058051,0.014141861568480843,0.016039438182416384
41,0.013274415690973627,0.013499073620768744,0.015233727710293708
42,0.013576905675240674,0.014003377243207236,0.015738603915553002
43,0.013372087401510803,0.014023820949751162,0.015774956240433485
44,0.013654966431879387,0.0134581843341846,0.015228722521746842
45,0.013271106217403898,0.013731069225549074,0.015507830126274876
46,0.01312673497563883,0.013923717631739729,0.01582812104618424
47,0.012901324041270356,0.013499714363189442,0.015307137346265301
48,0.0129816090627788,0.013873474102505858,0.01573644007169468
49,0.012931992811857192,0.013658932010712914,0.015398428291689735
50,0.012932751291073498,0.014003770417832682,0.01600581893130049
51,0.012867570779911137,0.01407343619415984,0.01580531618252366
52,0.013049161691535185,0.013204484742221578,0.014964678552282335
53,0.012908299853220862,0.01380616680840705,0.01567163490141751
54,0.012522141479436684,0.013690458873758105,0.015423082839870995
55,0.012667610364847745,0.013592322703967999,0.015332129133225734
56,0.012701577780279133,0.013406927686392017,0.015152949251034704
57,0.012528740480809847,0.013429119331588368,0.01524455953255001
58,0.0126033922921195,0.014298604412189067,0.01608162798639429
59,0.012353423387441569,0.01351205118087006,0.015504176085316672
60,0.01226095919044498,0.013373296520774928,0.015117028288264667
