benchmark,condition,noise_level,method,task_macro_success,success_ci_lower,success_ci_upper,worst_quartile_success,task_macro_intervention,recovery_occupancy_mean,delta_vs_act,delta_ci_lower,delta_ci_upper,task_count,episodes_per_task
MT10,official_clean,0.0,MT-MLP BC,0.942,0.9239999999999998,0.96,0.8066666666666666,0.0,0.0,-0.03200000000000003,-0.052000000000000005,-0.013999999999999999,10,50
MT10,official_clean,0.0,MT-ACT,0.974,0.9600000000000002,0.986,0.9133333333333334,0.0,0.0,,,,10,50
MT10,official_clean,0.0,MT-ACT + Heuristic-Gated Learned Recovery,0.9800000000000001,0.968,0.99,0.9333333333333332,0.23400000000000004,0.14161108977274958,0.006000000000000116,-0.01,0.022,10,50
MT10,official_clean,0.0,MT-REIM,0.974,0.96,0.986,0.9133333333333334,0.364,0.14297308343394535,0.0,0.0,0.0,10,50
MT50,official_clean,0.0,MT-MLP BC,0.8147999999999999,0.8036,0.82561,0.41538461538461535,0.0,0.0,-0.10160000000000002,-0.11440000000000002,-0.0888,50,50
MT50,official_clean,0.0,MT-ACT,0.9163999999999999,0.9083999999999998,0.9244,0.6907692307692308,0.0,0.0,,,,50,50
MT50,official_clean,0.0,MT-ACT + Heuristic-Gated Learned Recovery,0.94,0.9327999999999999,0.94721,0.7707692307692308,0.17800000000000002,0.1062875599018241,0.023600000000000065,0.0164,0.030400000000000003,50,50
MT50,official_clean,0.0,MT-REIM,0.9228000000000001,0.9144,0.9308,0.716923076923077,0.20240000000000002,0.10974753937322174,0.006400000000000183,0.0016000000000000003,0.011199999999999998,50,50
