benchmark,condition,noise_level,method,task_macro_success,success_ci_lower,success_ci_upper,worst_quartile_success,task_macro_intervention,recovery_occupancy_mean,delta_vs_act,delta_ci_lower,delta_ci_upper,task_count,episodes_per_task
MT50,robustness_noise_20,0.2,MT-ACT + Heuristic-Gated Learned Recovery,0.3596000000000001,0.3444,0.3752,0.07538461538461538,0.9388000000000001,0.608099469350088,0.3428000000000001,0.32760000000000006,0.3579999999999999,50,50
MT50,robustness_noise_20,0.2,MT-REIM,0.364,0.3507999999999999,0.3776,0.02,0.9091999999999999,0.4917890980211163,0.3472,0.3332,0.3616,50,50
MT50,robustness_noise_30,0.3,MT-MLP BC,0.0032,0.0012,0.005600000000000001,0.0,0.0,0.0,-0.013600000000000003,-0.018799999999999997,-0.0088,50,50
MT50,robustness_noise_30,0.3,MT-ACT,0.016800000000000002,0.0128,0.0216,0.0,0.0,0.0,,,,50,50
MT50,robustness_noise_30,0.3,MT-ACT + Heuristic-Gated Learned Recovery,0.35040000000000004,0.33558999999999994,0.36519999999999997,0.07846153846153846,0.9331999999999999,0.6032113744255716,0.33360000000000006,0.31918999999999986,0.34879999999999994,50,50
MT50,robustness_noise_30,0.3,MT-REIM,0.42440000000000005,0.41120000000000007,0.43800000000000006,0.03692307692307693,0.9551999999999999,0.56645323615638,0.4076000000000001,0.39320000000000005,0.4216,50,50
MT50,robustness_noise_40,0.4,MT-MLP BC,0.0044,0.002,0.0068000000000000005,0.0,0.0,0.0,-0.016,-0.0216,-0.0104,50,50
MT50,robustness_noise_40,0.4,MT-ACT,0.0204,0.015600000000000001,0.0252,0.0,0.0,0.0,,,,50,50
MT50,robustness_noise_40,0.4,MT-ACT + Heuristic-Gated Learned Recovery,0.3396,0.3251899999999999,0.3544,0.06769230769230769,0.9284,0.6003576281391152,0.31920000000000004,0.30479999999999996,0.3336,50,50
MT50,robustness_noise_40,0.4,MT-REIM,0.46440000000000003,0.4507999999999999,0.4776,0.05846153846153846,0.9788000000000001,0.6273204383977239,0.44400000000000006,0.4296,0.4583999999999999,50,50
