Method,Success Rate,Success CI Lower,Success CI Upper,Recovery Rate,Recovery CI Lower,Recovery CI Upper,Recovery Definition,Post-Intervention Task Success Rate,Post-Intervention Task Success CI Lower,Post-Intervention Task Success CI Upper,Average Steps,Steps CI Lower,Steps CI Upper,Average Time (s),Episodes,Successes,Recovery Attempts,Recovery Successes,Detector Triggers,Intervened Episodes,Post-Intervention Task Successes,Backend,Benchmark Eligible,Noise Level,Noise (%),Action Noise Std,Observation Noise Std,Object Impulse Std (m),Condition Seed,Episode Bank SHA256,Episode Bank File SHA256,Episode Offset,CRN Episode Specifications Verified,Profile
ACT,0.765,0.7015863111723746,0.8184256658476741,0.0,0.0,0.0,not_applicable,,,,89.32,80.729625,98.250125,0.44837004500994226,200,153,0,0,0,0,0,metaworld,True,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,8000042,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,af5745b9186a646d034e11188254b9a02d00f2f6614386a43dbbf2654455056f,0,True,full
REIM (ACT + Detector + Recovery),0.92,0.874010511732856,0.9501594141102401,0.875,0.8174603174603174,0.9274222767648433,task_success_while_recovery_active_per_intervention,0.875,0.8065737291824854,0.9215735536123834,67.315,62.034875,72.75524999999999,0.23176385061990004,200,184,128,112,128,128,112,metaworld,True,0.2,20.0,0.08000000000000002,0.005000000000000001,0.020000000000000004,8000042,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,af5745b9186a646d034e11188254b9a02d00f2f6614386a43dbbf2654455056f,0,True,full
