Method,Success Rate,Success CI Lower,Success CI Upper,Recovery Rate,Recovery CI Lower,Recovery CI Upper,Recovery Definition,Post-Intervention Task Success Rate,Post-Intervention Task Success CI Lower,Post-Intervention Task Success CI Upper,Average Steps,Steps CI Lower,Steps CI Upper,Average Time (s),Episodes,Successes,Recovery Attempts,Recovery Successes,Detector Triggers,Intervened Episodes,Post-Intervention Task Successes,Backend,Benchmark Eligible,Noise Level,Noise (%),Action Noise Std,Observation Noise Std,Object Impulse Std (m),Condition Seed,Episode Bank SHA256,Episode Bank File SHA256,Episode Offset,CRN Episode Specifications Verified,Profile
ACT,0.535,0.4658664687236316,0.6028143584299599,0.0,0.0,0.0,not_applicable,,,,123.34,113.0445,133.421,0.6156738241200037,200,107,0,0,0,0,0,metaworld,True,0.3,30.0,0.12,0.0075,0.03,8000042,093171deee73c73233afa582007dc538d5372fbe19a180c78389ff37452cf336,8c1bfbc1b345eb1d9fd5d44623c28fbdf4fd6ce8e2089b255a4bb8d160f924bd,0,True,full
REIM (ACT + Detector + Recovery),0.795,0.7337430194757748,0.8451382379616379,0.75,0.6832222390546887,0.815963539644327,task_success_while_recovery_active_per_intervention,0.75,0.6785200122900301,0.8100362751502561,86.015,78.02487500000001,94.16149999999999,0.2404247060297166,200,159,164,123,164,164,123,metaworld,True,0.3,30.0,0.12,0.0075,0.03,8000042,093171deee73c73233afa582007dc538d5372fbe19a180c78389ff37452cf336,8c1bfbc1b345eb1d9fd5d44623c28fbdf4fd6ce8e2089b255a4bb8d160f924bd,0,True,full
