Method,Success Rate,Success CI Lower,Success CI Upper,Recovery Rate,Recovery CI Lower,Recovery CI Upper,Recovery Definition,Post-Intervention Task Success Rate,Post-Intervention Task Success CI Lower,Post-Intervention Task Success CI Upper,Average Steps,Steps CI Lower,Steps CI Upper,Average Time (s),Episodes,Successes,Recovery Attempts,Recovery Successes,Detector Triggers,Intervened Episodes,Post-Intervention Task Successes,Backend,Benchmark Eligible,Noise Level,Noise (%),Action Noise Std,Observation Noise Std,Object Impulse Std (m),Condition Seed,Episode Bank SHA256,Episode Bank File SHA256,Episode Offset,CRN Episode Specifications Verified,Profile
ACT,1.0,0.9811546736227335,1.0,0.0,0.0,0.0,not_applicable,,,,53.3,52.819875,53.84,0.2764581517451552,200,200,0,0,0,0,0,metaworld,True,0.0,0.0,0.0,0.0,0.0,8000042,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,eb468aabd44faac6824e22e445af922d5694375b8cc2cc5e1272fe277b523768,0,True,full
REIM (ACT + Detector + Recovery),1.0,0.9811546736227335,1.0,1.0,1.0,1.0,task_success_while_recovery_active_per_intervention,1.0,0.9581729333351078,0.9999999999999999,54.195,53.675,54.700375,0.2328096341849596,200,200,88,88,88,88,88,metaworld,True,0.0,0.0,0.0,0.0,0.0,8000042,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,eb468aabd44faac6824e22e445af922d5694375b8cc2cc5e1272fe277b523768,0,True,full
