method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,Profile,noise_level,Benchmark Eligible
ACT + Random Reset,265,8000307,metaworld,True,64,0.28611936300148955,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,9b9e6d093cf9e44f769e05a401560cf152a20e88638426979f0d501daf934a3f,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,c5023b3d25031a103b9549b6e8c83ba09d69e708ef117c31128a38e03616e5d8,,,full,0.2,True
ACT + Random Reset,266,8000308,metaworld,True,76,0.34498860700114165,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,6255f2b699a7dc44e1481929c06544ae54bf0622df1452cf04d5b87776f033e1,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,b8e45a2f8f553d53c6eef0305347f910b9999bcae6df6ccaf0eaee6ac864e670,a74ef987b4f5154aa3eedf47cbad6aa6d6e8b196ec7ac84b3ce36a74f85b7ec7,742509487aeb71d366f1ddafa1cb12db2f7cfefe17c4ca89c98cffb67c1c8619,full,0.2,True
ACT + Random Reset,267,8000309,metaworld,True,75,0.34539862499877927,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,39cf10c33797fe3d25fe591b9ef79b49e2a8882967922ff041331b1a37855e69,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,504c23f653f6cdee9d659d9320b164606b319d4f0e9cdf0f3a87e2fc7a98160a,11cbad6a8ae868f1540642291f3f5bb3a11bebfcb09a709450e39132e8abdfce,4e97203f8ce1a96cef19545d4c4c300d0de39e4f94bd1941cef7ebc3dd48be02,full,0.2,True
ACT + Random Reset,268,8000310,metaworld,True,81,0.3707107989976066,1,1,1,0,0.85,post_reset_task_success_per_reset,True,False,,f4a5781ca05621d05c5e3d08f59447d1d62fad9b7f5454868a42c18ae06cba64,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,27e1ed8c670f23dae46752497e383610e58c248d638e3b9b707808a32ce33d4e,a8b456c467f5943354a628272479ee898ae54264a3a297a40aeb8c901fafca3d,06d355d7aff3b944ab4199c02a94c63d062e5c414c0b195f7b232b607e0ab1ed,full,0.2,True
ACT + Random Reset,269,8000311,metaworld,True,73,0.33017165300043416,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,c6aba29278d9f1ee459fc1cee0fe2b45e45de65ac2fc380975fcf329f78a2291,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,e6e55bdbd77dc052facbc072d20b08a21d116978c37627b9a3d9dc7989dfbe62,468037b140fa0f10fad818c2f85cc66416adee936d7d6b4010b78dc9e734bbc0,2eb279a724955c1a9d173681940490ec9cc8ed4fdc15a95533884a23d4ccdb4e,full,0.2,True
ACT + Random Reset,270,8000312,metaworld,True,53,0.2380875249982637,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,f9f9bc456dc7a20c6a3e7452a94b4c8bac43308b44c9d21b6cfe53687247a813,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,0f719f94ef165c0b816b8b10c3f4f5fcf802c9f5a25141035590310315749280,,,full,0.2,True
ACT + Random Reset,271,8000313,metaworld,True,83,0.37360929799979203,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,0d84cf53bb41dd9ac5d2fc0cc4cb0b087abe32b34ce288bf17d4144583b49ce3,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,524e161a612d94c222d06154bcd0129d0851b8fad51ae883abbef6e86d43cbb0,56f8e9bb9f21c883fa4249610543947e779d4b949e701b18acffcfb5eaa3fff0,a8cfe6e2276fbd15230c5555255b87d17333bdd29f84f687df7405d0311fae7f,full,0.2,True
ACT + Random Reset,272,8000314,metaworld,True,81,0.3770412939993548,1,1,1,0,0.9,post_reset_task_success_per_reset,True,False,,2ee73cf9805009420276f883dfc7f11e4ee909b376287458c71a2bf80ec4fdc0,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,08a97a6dfa17f78b5cc5b1351d60038e4a40a68fc93722672482714333b1d9b5,f6f3e2e6a44a80c86b7c591a92e8be29346b3e9a0aaebf868a66eee19e6bc519,942fb6a87dc1e3eb7bf7bb111c97e7096138256b4a9a6b4c62a012fabe8bec38,full,0.2,True
ACT + Random Reset,273,8000315,metaworld,True,55,0.24949678000120912,0,0,0,0,0.0,post_reset_task_success_per_reset,True,False,,de40af20ef0526c21677762beea42dcff16007f8106b224ad116ef57bd42d719,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,0f719f94ef165c0b816b8b10c3f4f5fcf802c9f5a25141035590310315749280,,,full,0.2,True
ACT + Random Reset,274,8000316,metaworld,False,200,0.8996487149997847,1,0,1,0,0.9,post_reset_task_success_per_reset,False,False,,6b4a260efac82fcf5605400c71b27e735376ec6217b7965a71bdac9d1895486f,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,f6a9ed9055e00c868d6771022c2c557a6a48990bdacbed585d07cde857d4755a,308623839b0bf4f66d95efbde28147c888adf1b5089839b208df60877cf80dcc,f82ceac6f8787ac22c378edc1f141cedcc86bf9309b43f1aff6633ae0a963abb,full,0.2,True
