Method,Success Rate,Success CI Lower,Success CI Upper,Recovery Rate,Recovery CI Lower,Recovery CI Upper,Recovery Definition,Post-Intervention Task Success Rate,Post-Intervention Task Success CI Lower,Post-Intervention Task Success CI Upper,Average Steps,Steps CI Lower,Steps CI Upper,Average Time (s),Episodes,Successes,Recovery Attempts,Recovery Successes,Detector Triggers,Intervened Episodes,Post-Intervention Task Successes,Backend,Benchmark Eligible,Noise Level,Noise (%),Action Noise Std,Observation Noise Std,Object Impulse Std (m),Condition Seed,Episode Bank SHA256,Episode Bank File SHA256,Episode Offset,CRN Episode Specifications Verified,Profile
ACT,0.315,0.2546232099022851,0.3823495608573036,0.0,0.0,0.0,not_applicable,,,,155.36,146.07475,164.655125,0.7541078466201907,200,63,0,0,0,0,0,metaworld,True,0.4,40.0,0.16000000000000003,0.010000000000000002,0.04000000000000001,8000042,b4d00b629663580725cee7c16b68664af3de3bc5986bddef37e01448932e3ffd,cd5316b1d3eea7176fb24ca457414dea5826200febe5e835fbfc1d19b5f82de0,0,True,full
REIM (ACT + Detector + Recovery),0.635,0.566317026527406,0.698594735350732,0.6032608695652174,0.535125740713976,0.6720452141723955,task_success_while_recovery_active_per_intervention,0.6032608695652174,0.5311560316556331,0.6711422268788328,110.38,100.438875,120.26075,0.2646142670849986,200,127,184,111,184,184,111,metaworld,True,0.4,40.0,0.16000000000000003,0.010000000000000002,0.04000000000000001,8000042,b4d00b629663580725cee7c16b68664af3de3bc5986bddef37e01448932e3ffd,cd5316b1d3eea7176fb24ca457414dea5826200febe5e835fbfc1d19b5f82de0,0,True,full
