Method,Success Rate,Success CI Lower,Success CI Upper,Recovery Rate,Recovery CI Lower,Recovery CI Upper,Recovery Definition,Post-Intervention Task Success Rate,Post-Intervention Task Success CI Lower,Post-Intervention Task Success CI Upper,Average Steps,Steps CI Lower,Steps CI Upper,Average Time (s),Episodes,Successes,Recovery Attempts,Recovery Successes,Detector Triggers,Intervened Episodes,Post-Intervention Task Successes,Backend,Benchmark Eligible,Noise Level,Noise (%),Action Noise Std,Observation Noise Std,Object Impulse Std (m),Condition Seed,Episode Bank SHA256,Episode Bank File SHA256,Episode Offset,CRN Episode Specifications Verified,Profile
ACT,0.97,0.9361057075454807,0.9861796856598887,0.0,0.0,0.0,not_applicable,,,,58.2,55.009875,62.115874999999996,0.3011279160749291,200,194,0,0,0,0,0,metaworld,True,0.1,10.0,0.04000000000000001,0.0025000000000000005,0.010000000000000002,8000042,5dab9ea09f41c6bcf76a778fec235e41b2ca78bc226d49a2cf5818fef53b3bc9,9d3628269991917db36939392983d8dbb7fdde52a4fbba6726d0cf20518a342b,0,True,full
REIM (ACT + Detector + Recovery),0.995,0.9722262956021069,0.9991168312843989,0.9896907216494846,0.967032967032967,1.0,task_success_while_recovery_active_per_intervention,0.9896907216494846,0.943895009757101,0.9981778351917131,55.435,54.319875,57.160624999999996,0.23692797760502798,200,199,97,96,97,97,96,metaworld,True,0.1,10.0,0.04000000000000001,0.0025000000000000005,0.010000000000000002,8000042,5dab9ea09f41c6bcf76a778fec235e41b2ca78bc226d49a2cf5818fef53b3bc9,9d3628269991917db36939392983d8dbb7fdde52a4fbba6726d0cf20518a342b,0,True,full
