method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,Profile,noise_level,Benchmark Eligible
ACT + Heuristic Recovery,506,8000548,metaworld,True,58,0.1301252690027468,1,1,1,36,0.85,task_success_while_recovery_active_per_intervention,True,False,,86a66c39a2edbe8996ed666c7c4d6cd29568897818a08842fc4d081310041e48,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,06d355d7aff3b944ab4199c02a94c63d062e5c414c0b195f7b232b607e0ab1ed,,,full,0.2,True
ACT + Heuristic Recovery,507,8000549,metaworld,False,200,0.34876707100193016,1,0,1,150,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,2a07291dcdc884fe586bb77e9292f51048272289652234ef45b3c8a12c8b44aa,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,742509487aeb71d366f1ddafa1cb12db2f7cfefe17c4ca89c98cffb67c1c8619,,,full,0.2,True
ACT + Heuristic Recovery,508,8000550,metaworld,True,49,0.116107509998983,1,1,1,29,0.85,task_success_while_recovery_active_per_intervention,True,False,,666c52e530f1becd2d29a579007200364e55fd84bc257bd2d1a3e8d8b885dbbe,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,504c23f653f6cdee9d659d9320b164606b319d4f0e9cdf0f3a87e2fc7a98160a,,,full,0.2,True
ACT + Heuristic Recovery,509,8000551,metaworld,True,47,0.07581579899851931,1,1,1,38,1.0,task_success_while_recovery_active_per_intervention,True,False,,9cf41cb02ccc7e49e1f2b6b8c2c2dec005ee9c6fd90c4a2b3c957736f73f34ab,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,20cf3cfee33051ea4ca25b64648f05450b0068ae0136ae52c3108d28b02f3691,,,full,0.2,True
ACT + Heuristic Recovery,510,8000552,metaworld,True,49,0.2241793899993354,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,7260bc6a80142072d58708e20cb342dda87937257d5025743b66bb828f050707,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,bb2c6b1aed959fa3ddddb1c215ce67cbb5b0ec080eb65fb58e06b7776849a096,,,full,0.2,True
ACT + Heuristic Recovery,511,8000553,metaworld,True,49,0.12209652799720061,1,1,1,29,0.85,task_success_while_recovery_active_per_intervention,True,False,,bec4d15db2ae7a35f8f35282e963aa0eeb9a6f02dc20dd21c26bae6105c833a6,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,bb2c6b1aed959fa3ddddb1c215ce67cbb5b0ec080eb65fb58e06b7776849a096,,,full,0.2,True
ACT + Heuristic Recovery,512,8000554,metaworld,True,53,0.24613982699884218,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,f843e31bbd29568823276fac18ab71a00a2a7b77f2ab978b09cacd6132d99f34,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,504c23f653f6cdee9d659d9320b164606b319d4f0e9cdf0f3a87e2fc7a98160a,,,full,0.2,True
ACT + Heuristic Recovery,513,8000555,metaworld,True,56,0.13203337400045712,1,1,1,36,0.85,task_success_while_recovery_active_per_intervention,True,False,,7d0272e9257f17975bc5abd4d848aa6dd6572c6eed5313017a932ac0f1edcd98,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,2eb279a724955c1a9d173681940490ec9cc8ed4fdc15a95533884a23d4ccdb4e,,,full,0.2,True
ACT + Heuristic Recovery,514,8000556,metaworld,True,59,0.13218128099833848,1,1,1,39,0.85,task_success_while_recovery_active_per_intervention,True,False,,450e937532e9c2f22e8066f3eaf6ff940dd2bcf2011bba7306d78d0f339020a0,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,942fb6a87dc1e3eb7bf7bb111c97e7096138256b4a9a6b4c62a012fabe8bec38,,,full,0.2,True
ACT + Heuristic Recovery,515,8000557,metaworld,True,60,0.1384899709992169,1,1,1,40,0.85,task_success_while_recovery_active_per_intervention,True,False,,f1adb40d3cec6c1a2d3851ef89ccec72b1c99c31ea808c748234fbffbf2e8b16,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,06d355d7aff3b944ab4199c02a94c63d062e5c414c0b195f7b232b607e0ab1ed,,,full,0.2,True
ACT + Heuristic Recovery,516,8000558,metaworld,True,63,0.13410014400142245,1,1,1,43,0.85,task_success_while_recovery_active_per_intervention,True,False,,2eaef5fc853af5e5d58c047a41c63415291ab3abecc2835053e89ba5f1e7c930,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,a0b103bf3e43f4aa92753185301eba5e2e31594285004b99f51a59b33bd2d620,,,full,0.2,True
ACT + Heuristic Recovery,517,8000559,metaworld,True,60,0.13011741699665436,1,1,1,40,0.85,task_success_while_recovery_active_per_intervention,True,False,,b43d85c5c489686fec6033a1c06ca112bac93f6b3c210312b08d9cf0196e76ca,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,b8e45a2f8f553d53c6eef0305347f910b9999bcae6df6ccaf0eaee6ac864e670,,,full,0.2,True
ACT + Heuristic Recovery,518,8000560,metaworld,True,58,0.12832354800048051,1,1,1,38,0.85,task_success_while_recovery_active_per_intervention,True,False,,a34e0d5b745035d40242e15f2be487ed1a9c114a13675117a29d9c480bb0dd33,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,48ce9609a38b32e56f7e6a43ffef71c21c8b1d17ed5a63d47701bc1dfc3ff271,,,full,0.2,True
ACT + Heuristic Recovery,519,8000561,metaworld,True,56,0.12780227999974159,1,1,1,36,0.85,task_success_while_recovery_active_per_intervention,True,False,,43a66495768bffe5ed7d38998c01206d5e1b64eda1c3dfadb4114f04ee37125b,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,8a99d46d6d04afe3e2ef92bb607dde5e178b5c37506006c4f364e345976453b1,,,full,0.2,True
ACT + Heuristic Recovery,520,8000562,metaworld,True,54,0.1263512459991034,1,1,1,34,0.85,task_success_while_recovery_active_per_intervention,True,False,,c3e08e01bceb28aaa952defdbe445b5175d38754c5be953a4234d1629d4ffa19,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,5e1df472084de78052388a34f03cad3de438ca9b5dc801b5759dd57c66a7482a,,,full,0.2,True
ACT + Heuristic Recovery,521,8000563,metaworld,False,200,0.35377578900079243,1,0,1,150,1.0,task_success_while_recovery_active_per_intervention,False,True,object_dropped,c355f81c4333224a359af4b873f9410b3592cd774ebea268c099963c8deb547d,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,f6a9ed9055e00c868d6771022c2c557a6a48990bdacbed585d07cde857d4755a,,,full,0.2,True
ACT + Heuristic Recovery,522,8000564,metaworld,True,54,0.24175849099992774,0,0,0,0,0.0,task_success_while_recovery_active_per_intervention,True,False,,91f960aa6905d8e11fba05efc3a66e5dd40cedfd8a002f805cb2ddcf1fe57fb2,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,588df85fb38ef87f822932ad2f702be807974873e4a07ea43084bbdeeaac6604,,,full,0.2,True
ACT + Heuristic Recovery,523,8000565,metaworld,True,56,0.12321450200033723,1,1,1,36,0.85,task_success_while_recovery_active_per_intervention,True,False,,8e55b1c6b64cfe9bbe13c0d72a31814d4f2ce704e866a0fee18fd878f206bbbf,8c503c07dc6dcdd904e948f14d270410c2fbd4d9796f8d9e08451dc34c7d4399,35203d16cfa98b5f2e002fcb1ffde2400abf9459c161f6a289efa0c46eddb36f,,,full,0.2,True
