condition,noise_level,method,episodes,micro_success,task_macro_success,mean_steps
official_clean,0.0,act,250,0.916,0.916,111.064
official_clean,0.0,heuristic_recovery,250,0.94,0.94,107.82
robustness_noise_10,0.1,act,250,0.028,0.028,489.828
robustness_noise_10,0.1,heuristic_recovery,250,0.36,0.36,385.404
robustness_noise_40,0.4,act,250,0.032,0.032,488.748
robustness_noise_40,0.4,heuristic_recovery,250,0.316,0.316,399.276
