condition,noise_level,release_threshold,release_patience,episodes,micro_success,task_macro_success,intervened_episode_rate,interventions_per_episode_mean,interventions_per_episode_median,release_rate,median_trigger_step,recovery_occupancy_mean,mean_steps
official_clean,0.0,0.05,5,250,0.932,0.932,0.276,0.288,0.0,0.927536,33.0,0.159718,106.148
official_clean,0.0,0.05,10,250,0.932,0.932,0.276,0.288,0.0,0.927536,33.0,0.160033,106.16
official_clean,0.0,0.15,5,250,0.932,0.932,0.276,0.316,0.0,0.985507,33.0,0.129069,105.54
official_clean,0.0,0.15,10,250,0.932,0.932,0.276,0.308,0.0,0.985507,33.0,0.141709,105.492
robustness_noise_10,0.1,0.05,5,250,0.328,0.328,0.86,1.092,1.0,0.502326,131.0,0.444674,391.364
robustness_noise_10,0.1,0.05,10,250,0.328,0.328,0.86,1.088,1.0,0.483721,131.0,0.453725,388.948
robustness_noise_10,0.1,0.15,5,250,0.252,0.252,0.86,1.388,1.0,0.753488,131.0,0.33051,425.984
robustness_noise_10,0.1,0.15,10,250,0.256,0.256,0.86,1.276,1.0,0.725581,131.0,0.362746,415.1
robustness_noise_40,0.4,0.05,5,250,0.464,0.464,0.98,1.76,2.0,0.77551,26.0,0.614427,333.068
robustness_noise_40,0.4,0.05,10,250,0.516,0.516,0.98,1.508,1.0,0.702041,26.0,0.653703,311.848
robustness_noise_40,0.4,0.15,5,250,0.38,0.38,0.98,2.732,3.0,0.971429,26.0,0.447109,377.24
robustness_noise_40,0.4,0.15,10,250,0.416,0.416,0.98,2.132,2.0,0.910204,26.0,0.544183,355.644
