benchmark,condition,noise_level,method,task_macro_success,success_ci_lower,success_ci_upper,worst_quartile_success,task_macro_intervention,delta_vs_act,delta_ci_lower,delta_ci_upper,task_count,episodes_per_task
MT10,official_clean,0.0,MT-MLP BC,0.914,0.8960000000000001,0.932,0.7200000000000001,0.0,-0.051999999999999935,-0.074,-0.030000000000000006,10,50
MT10,official_clean,0.0,MT-ACT,0.966,0.952,0.9800000000000001,0.8866666666666667,0.0,,,,10,50
MT10,official_clean,0.0,MT-ACT + Heuristic-Gated Learned Recovery,0.966,0.952,0.9800000000000001,0.8866666666666667,0.22200000000000003,0.0,-0.016,0.016,10,50
MT10,official_clean,0.0,MT-REIM,0.97,0.9560000000000001,0.982,0.9,0.466,0.0040000000000000036,0.0,0.01,10,50
